id,Τίτλος,Περιοδικό,DOI,Αναφορές
pub.1126774768,Thromboembolic risk and anticoagulant therapy in COVID‐19 patients: emerging evidence and call for action,British Journal of Haematology,10.1111/bjh.16727,242
pub.1126865633,Circulating plasma concentrations of angiotensin-converting enzyme 2 in men and women with heart failure and effects of renin–angiotensin–aldosterone inhibitors,European Heart Journal,10.1093/eurheartj/ehaa373,215
pub.1126747969,ESGE and ESGENA Position Statement on gastrointestinal endoscopy and the COVID-19 pandemic,Endoscopy,10.1055/a-1155-6229,201
pub.1126691274,Zinc and respiratory tract infections: Perspectives for COVID-19 (Review),International Journal of Molecular Medicine,10.3892/ijmm.2020.4575,148
pub.1128720926,Effect of Colchicine vs Standard Care on Cardiac and Inflammatory Biomarkers and Clinical Outcomes in Patients Hospitalized With Coronavirus Disease 2019,JAMA Network Open,10.1001/jamanetworkopen.2020.13136,146
pub.1127353228,Trained immunity: a tool for reducing susceptibility and severity of SARS-CoV-2 infection,Cell,10.1016/j.cell.2020.04.042,146
pub.1127168238,The first case of COVID-19 treated with the complement C3 inhibitor AMY-101,Clinical Immunology,10.1016/j.clim.2020.108450,136
pub.1126701508,"Enhancing immunity in viral infections, with special emphasis on COVID-19: A review",Diabetes & Metabolic Syndrome Clinical Research & Reviews,10.1016/j.dsx.2020.04.015,135
pub.1127457729,Systematic review of the prevalence of current smoking among hospitalized COVID-19 patients in China: could nicotine be a therapeutic option?,Internal and Emergency Medicine,10.1007/s11739-020-02355-7,132
pub.1127591837,Favorable Anakinra Responses in Severe Covid-19 Patients with Secondary Hemophagocytic Lymphohistiocytosis,Cell Host & Microbe,10.1016/j.chom.2020.05.007,120
pub.1129930852,Complement and tissue factor-enriched neutrophil extracellular traps are key drivers in COVID-19 immunothrombosis,Journal of Clinical Investigation,10.1172/jci141374,120
pub.1124835182,"Laboratory readiness and response for novel coronavirus (2019-nCoV) in expert laboratories in 30 EU/EEA countries, January 2020",Eurosurveillance,10.2807/1560-7917.es.2020.25.6.2000082,119
pub.1128459489,"More than smell – COVID-19 is associated with severe impairment of smell, taste, and chemesthesis",Chemical Senses,10.1093/chemse/bjaa041,117
pub.1127150492,European Association of Urology Guidelines Office Rapid Reaction Group: An Organisation-wide Collaborative Effort to Adapt the European Association of Urology Guidelines Recommendations to the Coronavirus Disease 2019 Era,European Urology,10.1016/j.eururo.2020.04.056,116
pub.1127427975,"Obesity - a risk factor for increased COVID-19 prevalence, severity and lethality",Molecular Medicine Reports,10.3892/mmr.2020.11127,113
pub.1127778422,Antibody Tests in Detecting SARS-CoV-2 Infection: A Meta-Analysis,Diagnostics,10.3390/diagnostics10050319,112
pub.1127243572,Editorial: Nicotine and SARS-CoV-2: COVID-19 may be a disease of the nicotinic cholinergic system,Toxicology Reports,10.1016/j.toxrep.2020.04.012,109
pub.1127514557,Insomnia during the COVID-19 pandemic in a Greek population,Psychiatry Research,10.1016/j.psychres.2020.113076,104
pub.1124562969,Mast cells contribute to coronavirus-induced inflammation: new anti-inflammatory strategy.,Journal of Biological Regulators and Homeostatic Agents,10.23812/20-editorial-kritas,101
pub.1125966050,A new threat from an old enemy: Re-emergence of coronavirus (Review),International Journal of Molecular Medicine,10.3892/ijmm.2020.4555,98
pub.1129492409,"A country level analysis measuring the impact of government actions, country preparedness and socioeconomic factors on COVID-19 mortality and related health outcomes",EClinicalMedicine,10.1016/j.eclinm.2020.100464,98
pub.1128245136,Medical and Surgical Education Challenges and Innovations in the COVID-19 Era: A Systematic Review,In Vivo,10.21873/invivo.11950,97
pub.1128034883,Pharmacological Agents Targeting Thromboinflammation in COVID-19: Review and Implications for Future Research,Thrombosis and Haemostasis,10.1055/s-0040-1713152,97
pub.1127379070,Severe COVID‐19 infection and thrombotic microangiopathy: success does not come easily,British Journal of Haematology,10.1111/bjh.16783,88
pub.1126024931,How to reduce the likelihood of coronavirus-19 (CoV-19 or SARS-CoV-2) infection and lung inflammation mediated by IL-1.,Journal of Biological Regulators and Homeostatic Agents,10.23812/editorial-conti-2,85
pub.1127864415,COVID-19's impact on the atmospheric environment in the Southeast Asia region,The Science of The Total Environment,10.1016/j.scitotenv.2020.139658,84
pub.1126381310,COVID-19 pandemic and its impact on mental health of healthcare professionals,Experimental and Therapeutic Medicine,10.3892/etm.2020.8646,84
pub.1127427969,"Towards effective COVID-19 vaccines: Updates, perspectives and challenges (Review)",International Journal of Molecular Medicine,10.3892/ijmm.2020.4596,78
pub.1129682160,Organ-specific manifestations of COVID-19 infection,Clinical and Experimental Medicine,10.1007/s10238-020-00648-x,77
pub.1127591800,Extracting Possibly Representative COVID-19 Biomarkers from X-ray Images with Deep Learning Approach and Image Data Related to Pulmonary Diseases,Journal of Medical and Biological Engineering,10.1007/s40846-020-00529-4,76
pub.1124849068,"Data-Based Analysis, Modelling and Forecasting of the COVID-19 outbreak",medRxiv,10.1101/2020.02.11.20022186,75
pub.1127694676,University students’ mental health amidst the COVID-19 quarantine in Greece,Psychiatry Research,10.1016/j.psychres.2020.113111,75
pub.1126000336,Intranasal corticosteroids in allergic rhinitis in COVID‐19 infected patients: An ARIA‐EAACI statement,Allergy,10.1111/all.14302,73
pub.1129129673,Characteristics and Outcomes in Patients With COVID-19 and Acute Ischemic Stroke,Stroke,10.1161/strokeaha.120.031208,72
pub.1126110956,The Greek study in the effects of colchicine in COvid-19 complications prevention (GRECCO-19 study): Rationale and study design,Hellenic Journal of Cardiology,10.1016/j.hjc.2020.03.002,70
pub.1129604273,Global quieting of high-frequency seismic noise due to COVID-19 pandemic lockdown measures,Science,10.1126/science.abd2438,66
pub.1130470667,Activate: Randomized Clinical Trial of BCG Vaccination against Infection in the Elderly,Cell,10.1016/j.cell.2020.08.051,65
pub.1126740513,COVID-19 in Northern Italy: An integrative overview of factors possibly influencing the sharp increase of the outbreak,Molecular Medicine Reports,10.3892/mmr.2020.11079,63
pub.1128962476,"Excess all-cause mortality during the COVID-19 pandemic in Europe – preliminary pooled estimates from the EuroMOMO network, March to April 2020",Eurosurveillance,10.2807/1560-7917.es.2020.25.26.2001214,59
pub.1128170994,"Development of a Portable, Ultra-Rapid and Ultra-Sensitive Cell-Based Biosensor for the Direct Detection of the SARS-CoV-2 S1 Spike Protein Antigen",Sensors,10.3390/s20113121,59
pub.1127129628,COVID‐19: lambda interferon against viral load and hyperinflammation,EMBO Molecular Medicine,10.15252/emmm.202012465,58
pub.1127497942,"COVID-19, an opportunity to reevaluate the correlation between long-term effects of anthropogenic pollutants on viral epidemic/pandemic events and prevalence",Food and Chemical Toxicology,10.1016/j.fct.2020.111418,57
pub.1132408693,Structure and inhibition of the SARS-CoV-2 main protease reveal strategy for developing dual inhibitors against Mpro and cathepsin L,Science Advances,10.1126/sciadv.abe0751,56
pub.1127941393,Obesity and COVID-19: immune and metabolic derangement as a possible link to adverse clinical outcomes,AJP Endocrinology and Metabolism,10.1152/ajpendo.00198.2020,56
pub.1129709236,Predictors of adverse prognosis in COVID‐19: A systematic review and meta‐analysis,European Journal of Clinical Investigation,10.1111/eci.13362,55
pub.1126883847,Managing childhood allergies and immunodeficiencies during respiratory virus epidemics – The 2020 COVID‐19 pandemic: A statement from the EAACI‐section on pediatrics,Pediatric Allergy and Immunology,10.1111/pai.13262,54
pub.1127722227,Comprehensive analysis of drugs to treat SARS-CoV-2 infection: Mechanistic insights into current COVID-19 therapies (Review),International Journal of Molecular Medicine,10.3892/ijmm.2020.4608,52
pub.1130410337,COVID-19 Home Confinement Negatively Impacts Social Participation and Life Satisfaction: A Worldwide Multicenter Study,International Journal of Environmental Research and Public Health,10.3390/ijerph17176237,52
pub.1128782898,"Current smoking, former smoking, and adverse outcome among hospitalized COVID-19 patients: a systematic review and meta-analysis",Therapeutic Advances in Chronic Disease,10.1177/2040622320935765,52
pub.1127148170,Estimating the infection horizon of COVID-19 in eight countries with a data-driven approach,Chaos Solitons & Fractals,10.1016/j.chaos.2020.109842,51
pub.1127243075,SARS-CoV-2 infection and obesity: Common inflammatory and metabolic aspects,Diabetes & Metabolic Syndrome Clinical Research & Reviews,10.1016/j.dsx.2020.04.033,50
pub.1127822686,Review of trials currently testing treatment and prevention of COVID-19,Clinical Microbiology and Infection,10.1016/j.cmi.2020.05.019,49
pub.1128371127,Neurological manifestations and implications of COVID-19 pandemic,Therapeutic Advances in Neurological Disorders,10.1177/1756286420932036,49
pub.1130963812,Complement C3 vs C5 inhibition in severe COVID-19: Early clinical findings reveal differential biological efficacy,Clinical Immunology,10.1016/j.clim.2020.108598,48
pub.1128662214,Human–computer collaboration for skin cancer recognition,Nature Medicine,10.1038/s41591-020-0942-0,47
pub.1127793166,Management of patients with multiple myeloma in the era of COVID-19 pandemic: a consensus paper from the European Myeloma Network (EMN),Leukemia,10.1038/s41375-020-0876-z,47
pub.1128615989,Mental Health Effects of COVID-19 Pandemia: A Review of Clinical and Psychological Traits,Psychiatry Investigation,10.30773/pi.2020.0161,47
pub.1129100403,"COVID-19 severity and mortality in patients with chronic lymphocytic leukemia: a joint study by ERIC, the European Research Initiative on CLL, and CLL Campus",Leukemia,10.1038/s41375-020-0959-x,45
pub.1128419653,Recommendations for head and neck surgical oncology practice in a setting of acute severe resource constraint during the COVID-19 pandemic: an international consensus,The Lancet Oncology,10.1016/s1470-2045(20)30334-x,45
pub.1127233454,On Facing the SARS-CoV-2 (COVID-19) with Combination of Nanomaterials and Medicine: Possible Strategies and First Challenges,Nanomaterials,10.3390/nano10050852,44
pub.1132581290,"Ferric carboxymaltose for iron deficiency at discharge after acute heart failure: a multicentre, double-blind, randomised, controlled trial",The Lancet,10.1016/s0140-6736(20)32339-4,44
pub.1126890404,Sport psychology services to high performance athletes during COVID-19,International Journal of Sport and Exercise Psychology,10.1080/1612197x.2020.1754616,44
pub.1132505114,Structure and drug binding of the SARS-CoV-2 envelope protein transmembrane domain in lipid bilayers,Nature Structural & Molecular Biology,10.1038/s41594-020-00536-8,43
pub.1132365003,Psychological consequences of COVID-19 home confinement: The ECLB-COVID19 multicenter study,PLOS ONE,10.1371/journal.pone.0240204,43
pub.1132651300,Seroprevalence of SARS-CoV-2 antibodies and associated factors in health care workers: a systematic review and meta-analysis,Journal of Hospital Infection,10.1016/j.jhin.2020.11.008,43
pub.1126632252,COVID-19 and Substance Use Disorders: Recommendations to a Comprehensive Healthcare Response. An International Society of Addiction Medicine (ISAM) Practice and Policy Interest Group Position Paper,Basic and Clinical Neuroscience Journal,10.32598/bcn.11.covid19.1,41
pub.1127887283,Is diet partly responsible for differences in COVID-19 death rates between and within countries?,Clinical and Translational Allergy,10.1186/s13601-020-00323-0,40
pub.1133086810,Untuned antiviral immunity in COVID-19 revealed by temporal type I/III interferon patterns and flu comparison,Nature Immunology,10.1038/s41590-020-00840-x,39
pub.1129122547,"Assessment of Knowledge, Attitudes, and Practices towards New Coronavirus (SARS-CoV-2) of Health Care Professionals in Greece before the Outbreak Period",International Journal of Environmental Research and Public Health,10.3390/ijerph17144925,39
pub.1126615548,High prevalence of SARS-CoV-2 infection in repatriation flights to Greece from three European countries,Journal of Travel Medicine,10.1093/jtm/taaa054,38
pub.1127180904,European Association for the Study of Obesity Position Statement on the Global COVID-19 Pandemic,Obesity Facts,10.1159/000508082,38
pub.1127370962,Codon Usage and Phenotypic Divergences of SARS-CoV-2 Genes,Viruses,10.3390/v12050498,38
pub.1128104127,"SARS-CoV-2, which induces COVID-19, causes kawasaki-like disease in children: role of pro-inflammatory and anti-inflammatory cytokines.",Journal of Biological Regulators and Homeostatic Agents,10.23812/editorial-ronconi-e-59,37
pub.1127899642,Psychometric Properties of the Greek Version of FCV-19S,International Journal of Mental Health and Addiction,10.1007/s11469-020-00319-8,36
pub.1127237320,Soluble urokinase plasminogen activator receptor (suPAR) as an early predictor of severe respiratory failure in patients with COVID-19 pneumonia,Critical Care,10.1186/s13054-020-02897-4,36
pub.1127466548,COVID-19 and fertility: A virtual reality,Reproductive BioMedicine Online,10.1016/j.rbmo.2020.05.001,35
pub.1129793111,"Retraction notice for: “Characteristics and risk factors for COVID-19 diagnosis and adverse outcomes in Mexico: an analysis of 89,756 laboratory-confirmed COVID-19 cases.” Theodoros V. Giannouchos, Roberto A. Sussman, José M. Mier, Konstantinos Poulas and Konstantinos Farsalinos. Eur Respir J 2020; in press.",European Respiratory Journal,10.1183/13993003.02144-2020,35
pub.1126919867,Emergency changes in International Guidelines on Treatment for Head and Neck Cancer Patients During the COVID-19 Pandemic,Oral Oncology,10.1016/j.oraloncology.2020.104734,35
pub.1128569163,"Prevalence of Depression, Anxiety, and Insomnia Among Healthcare Workers During the COVID-19 Pandemic: A Systematic Review and Meta-Analysis",SSRN Electronic Journal,10.2139/ssrn.3594632,35
pub.1131204119,SARS-CoV-2 pathophysiology and its clinical implications: An integrative overview of the pharmacotherapeutic management of COVID-19,Food and Chemical Toxicology,10.1016/j.fct.2020.111769,34
pub.1127536715,Lipid-lowering therapy and renin-angiotensin-aldosterone system inhibitors in the era of the COVID-19 pandemic.,Archives of Medical Science,10.5114/aoms.2020.94503,34
pub.1127857809,Potential effects of “social” distancing measures and school lockdown on child and adolescent mental health,European Child & Adolescent Psychiatry,10.1007/s00787-020-01549-w,34
pub.1128748853,Autoantibodies related to systemic autoimmune rheumatic diseases in severely ill patients with COVID-19,Annals of the Rheumatic Diseases,10.1136/annrheumdis-2020-218009,34
pub.1130380728,Effects of home confinement on mental health and lifestyle behaviours during the COVID-19 outbreak: insights from the ECLB-COVID19 multicentre study.,Biology of Sport,10.5114/biolsport.2020.96857,33
pub.1128551354,"Reactive oxygen species as an initiator of toxic innate immune responses in retort to SARS-CoV-2 in an ageing population, consider N-acetylcysteine as early therapeutic intervention",Toxicology Reports,10.1016/j.toxrep.2020.06.003,33
pub.1127840984,COVID-19 and the nicotinic cholinergic system,European Respiratory Journal,10.1183/13993003.01589-2020,33
pub.1130144602,Risk of stroke in hospitalized SARS-CoV-2 infected patients: A multinational study,EBioMedicine,10.1016/j.ebiom.2020.102939,33
pub.1128216846,Considerations on biologicals for patients with allergic disease in times of the COVID‐19 pandemic: An EAACI statement,Allergy,10.1111/all.14407,33
pub.1130022364,SARS-CoV-2 exhibits intra-host genomic plasticity and low-frequency polymorphic quasispecies,Journal of Clinical Virology,10.1016/j.jcv.2020.104585,32
pub.1129306880,University students’ changes in mental health status and determinants of behavior during the COVID-19 lockdown in Greece,Psychiatry Research,10.1016/j.psychres.2020.113298,32
pub.1127851973,The role of self-reported smell and taste disorders in suspected COVID‑19,European Archives of Oto-Rhino-Laryngology,10.1007/s00405-020-06069-6,32
pub.1127377397,"SARS‐CoV‐2, testosterone and frailty in males (PROTEGGIMI): A multidimensional research project",Andrology,10.1111/andr.12811,32
pub.1128739238,Multisystem Resilience for Children and Youth in Disaster: Reflections in the Context of COVID-19,Adversity and Resilience Science,10.1007/s42844-020-00010-w,31
pub.1129951797,"Repeated leftover serosurvey of SARS-CoV-2 IgG antibodies, Greece, March and April 2020",Eurosurveillance,10.2807/1560-7917.es.2020.25.31.2001369,31
pub.1126726389,Colchicine as a potent anti-inflammatory treatment in COVID-19: can we teach an old dog new tricks?,European Heart Journal - Cardiovascular Pharmacotherapy,10.1093/ehjcvp/pvaa033,31
pub.1130813381,Guidance for the Management of Patients with Vascular Disease or Cardiovascular Risk Factors and COVID-19: Position Paper from VAS-European Independent Foundation in Angiology/Vascular Medicine,Thrombosis and Haemostasis,10.1055/s-0040-1715798,31
pub.1128115821,Perspectives from CO+RE: How COVID-19 changed our food systems and food security paradigms,Current Research in Food Science,10.1016/j.crfs.2020.05.003,31
pub.1130990860,Assessing the Impact of the COVID-19 Pandemic on the Greek Energy Firms: An Event Study Analysis,Energy RESEARCH LETTERS,10.46557/001c.17238,31
pub.1129872952,Safety and COVID-19 Symptoms in Individuals Recently Vaccinated with BCG: a Retrospective Cohort Study,Cell Reports Medicine,10.1016/j.xcrm.2020.100073,31
pub.1130922568,Interventions for treatment of COVID-19: A living systematic review with meta-analyses and trial sequential analyses (The LIVING Project),PLOS Medicine,10.1371/journal.pmed.1003293,30
pub.1128521300,Impact of COVID-19 on Pediatric Asthma: Practice Adjustments and Disease Burden,The Journal of Allergy and Clinical Immunology In Practice,10.1016/j.jaip.2020.06.001,30
pub.1128661185,Laboratory characteristics of patients infected with the novel SARS-CoV-2 virus,Journal of Infection,10.1016/j.jinf.2020.06.039,30
pub.1126925797,Adipose-derived stromal stem cells (ASCs) as a new regenerative immediate therapy combating coronavirus (COVID-19)-induced pneumonia,Expert Opinion on Biological Therapy,10.1080/14712598.2020.1761322,29
pub.1127494070,"Oncology during the COVID-19 pandemic: challenges, dilemmas and the psychosocial impact on cancer patients",Oncology Letters,10.3892/ol.2020.11599,29
pub.1125922498,Antihypertensive drugs and risk of COVID-19? – Authors' reply,The Lancet Respiratory Medicine,10.1016/s2213-2600(20)30159-4,29
pub.1130472196,Combined Point-of-Care Nucleic Acid and Antibody Testing for SARS-CoV-2 following Emergence of D614G Spike Variant,Cell Reports Medicine,10.1016/j.xcrm.2020.100099,29
pub.1130110710,Nicotinic Cholinergic System and COVID-19: In Silico Identification of an Interaction between SARS-CoV-2 and Nicotinic Receptors with Potential Therapeutic Targeting Implications,International Journal of Molecular Sciences,10.3390/ijms21165807,28
pub.1129102631,Concerns about the interpretation of OCT and fundus findings in COVID-19 patients in recent Lancet publication,Eye,10.1038/s41433-020-1084-9,28
pub.1125852551,Possibility of transmission through dogs being a contributing factor to the extreme Covid-19 outbreak in North Italy,Molecular Medicine Reports,10.3892/mmr.2020.11037,28
pub.1129058158,The Emerging Role of Convalescent Plasma in the Treatment of COVID-19.,HemaSphere,10.1097/hs9.0000000000000409,28
pub.1131947468,Human genetic factors associated with susceptibility to SARS-CoV-2 infection and COVID-19 disease severity,Human Genomics,10.1186/s40246-020-00290-4,28
pub.1131572986,"Ebselen, Disulfiram, Carmofur, PX-12, Tideglusib, and Shikonin Are Nonspecific Promiscuous SARS-CoV-2 Main Protease Inhibitors.",ACS Pharmacology & Translational Science,10.1021/acsptsci.0c00130,28
pub.1130645163,LifeTime and improving European healthcare through cell-based interceptive medicine,Nature,10.1038/s41586-020-2715-9,27
pub.1132160535,Outcomes of patients with hematologic malignancies and COVID-19: a systematic review and meta-analysis of 3377 patients,Blood,10.1182/blood.2020008824,27
pub.1128166208,Cranial Neuropathies and COVID-19: Neurotropism and Autoimmunity,Neurology,10.1212/wnl.0000000000009921,27
pub.1127835062,Chemistry and Biology of SARS-CoV-2,Chem,10.1016/j.chempr.2020.04.023,27
pub.1132627221,JAK inhibition reduces SARS-CoV-2 liver infectivity and modulates inflammatory responses to reduce morbidity and mortality,Science Advances,10.1126/sciadv.abe4724,27
pub.1131495213,Asian-Pacific perspective on the psychological well-being of healthcare workers during the evolution of the COVID-19 pandemic,BJPsych Open,10.1192/bjo.2020.98,27
pub.1129239812,Pulmonary fibrosis in the aftermath of the COVID-19 era (Review),Experimental and Therapeutic Medicine,10.3892/etm.2020.8980,27
pub.1132104827,The Impact of COVID-19 Pandemic on the Resilience of Sustainable Mobility in Sicily,Sustainability,10.3390/su12218829,26
pub.1128420617,COVID‐19 pandemic: Practical considerations on the organization of an allergy clinic—An EAACI/ARIA Position Paper,Allergy,10.1111/all.14453,26
pub.1125322340,Coronavirus Disease 2019 (COVID-19): A critical care perspective beyond China,Anaesthesia Critical Care & Pain Medicine,10.1016/j.accpm.2020.03.001,26
pub.1127537033,COVID-19 and assisted reproductive technology services: repercussions for patients and proposal for individualized clinical management,Reproductive Biology and Endocrinology,10.1186/s12958-020-00605-z,26
pub.1130191129,Comparison of COVID-19 and common cold chemosensory dysfunction.,Rhinology,10.4193/rhin20.251,26
pub.1130891488,Neuropilin-1 as a new potential SARS-CoV-2 infection mediator implicated in the neurologic features and central nervous system involvement of COVID-19,Molecular Medicine Reports,10.3892/mmr.2020.11510,26
pub.1134200610,The British variant of the new coronavirus-19 (Sars-Cov-2) should not create a vaccine problem.,Journal of Biological Regulators and Homeostatic Agents,10.23812/21-3-e,25
pub.1131171299,Risk factors associated with adverse fetal outcomes in pregnancies affected by Coronavirus disease 2019 (COVID-19): a secondary analysis of the WAPM study on COVID-19,Journal of Perinatal Medicine,10.1515/jpm-2020-0355,25
pub.1129358234,Point of Care Nucleic Acid Testing for SARS-CoV-2 in Hospitalized Patients: A Clinical Validation Trial and Implementation Study,Cell Reports Medicine,10.1016/j.xcrm.2020.100062,25
pub.1128245245,Systematic review of international guidelines for tracheostomy in COVID-19 patients,Oral Oncology,10.1016/j.oraloncology.2020.104844,25
pub.1127717860,Adipose Stem Cells (ASCs) and Stromal Vascular Fraction (SVF) as a Potential Therapy in Combating (COVID-19)-Disease,Aging and Disease,10.14336/ad.2020.0422,25
pub.1128712444,"Expression profiling meta-analysis of ACE2 and TMPRSS2, the putative anti-inflammatory receptor and priming protease of SARS-CoV-2 in human cells, and identification of putative modulators",Redox Biology,10.1016/j.redox.2020.101615,25
pub.1130357034,Endothelial Dysfunction in COVID-19: Lessons Learned from Coronaviruses,Current Hypertension Reports,10.1007/s11906-020-01078-6,25
pub.1125982696,ISUOG Consensus Statement on organization of routine and specialist obstetric ultrasound services in context of COVID‐19,Ultrasound in Obstetrics and Gynecology,10.1002/uog.22029,24
pub.1126505495,COVID-19 the showdown for mass casualty preparedness and management: the Cassandra Syndrome,World Journal of Emergency Surgery,10.1186/s13017-020-00304-5,24
pub.1129492378,Inhibition of SARS-CoV-2 entry through the ACE2/TMPRSS2 pathway: a promising approach for uncovering early COVID-19 drug therapies,European Journal of Clinical Pharmacology,10.1007/s00228-020-02963-4,24
pub.1132201658,Eating Habits and Lifestyle during COVID-19 Lockdown in the United Arab Emirates: A Cross-Sectional Study,Nutrients,10.3390/nu12113314,24
pub.1127471435,Interventions for treatment of COVID-19: a protocol for a living systematic review with network meta-analysis including individual patient data (The LIVING Project),Systematic Reviews,10.1186/s13643-020-01371-0,24
pub.1129935414,Transmission dynamics of SARS‐CoV‐2 within families with children in Greece: A study of 23 clusters,Journal of Medical Virology,10.1002/jmv.26394,23
pub.1127475590,Low-dose radiation therapy for COVID-19 pneumopathy: what is the evidence?,Strahlentherapie und Onkologie,10.1007/s00066-020-01635-7,23
pub.1127769033,Conducting clinical trials in heart failure during (and after) the COVID-19 pandemic: an Expert Consensus Position Paper from the Heart Failure Association (HFA) of the European Society of Cardiology (ESC),European Heart Journal,10.1093/eurheartj/ehaa461,23
pub.1125797842,"Tracing DAY-ZERO and Forecasting the COVID-19 Outbreak in Lombardy, Italy: A Compartmental Modelling and Numerical Optimization Approach",medRxiv,10.1101/2020.03.17.20037689,23
pub.1127973820,Interpretable artificial intelligence framework for COVID-19 screening on chest X-rays,Experimental and Therapeutic Medicine,10.3892/etm.2020.8797,23
pub.1128246977,COVID-19: The Potential Role of Copper and N-acetylcysteine (NAC) in a Combination of Candidate Antiviral Treatments Against SARS-CoV-2,In Vivo,10.21873/invivo.11946,23
pub.1129714482,Influenza immunization and COVID-19,Vaccine,10.1016/j.vaccine.2020.07.058,23
pub.1129874526,"Comparing eating behaviours, and symptoms of depression and anxiety between Spain and Greece during the COVID‐19 outbreak: Cross‐sectional analysis of two different confinement strategies",European Eating Disorders Review,10.1002/erv.2772,23
pub.1128275459,PEEP levels in COVID-19 pneumonia,Critical Care,10.1186/s13054-020-03049-4,23
pub.1130205214,"Application of methylene blue -vitamin C –N-acetyl cysteine for treatment of critically ill COVID-19 patients, report of a phase-I clinical trial",European Journal of Pharmacology,10.1016/j.ejphar.2020.173494,23
pub.1128277100,How 3D printing and social media tackles the PPE shortage during Covid – 19 pandemic,Safety Science,10.1016/j.ssci.2020.104870,22
pub.1128321968,Gastrointestinal involvement in COVID-19: a systematic review and meta-analysis,Annals of Gastroenterology,10.20524/aog.2020.0506,22
pub.1127473351,Mental Health Impact of COVID-19: A global study of risk and resilience factors,medRxiv,10.1101/2020.05.05.20092023,22
pub.1127574946,Summary of international recommendations in 23 languages for patients with cancer during the COVID-19 pandemic,The Lancet Oncology,10.1016/s1470-2045(20)30278-3,22
pub.1130069094,"Environmental contamination of SARS-CoV-2 on surfaces, air-conditioner and ventilation systems",International Journal of Hygiene and Environmental Health,10.1016/j.ijheh.2020.113599,22
pub.1127591819,Acute asthma management during SARS-CoV2-pandemic 2020,World Allergy Organization Journal,10.1016/j.waojou.2020.100125,22
pub.1128170594,In Silico Evaluation of the Effectivity of Approved Protease Inhibitors against the Main Protease of the Novel SARS-CoV-2 Virus,Molecules,10.3390/molecules25112529,22
pub.1130924138,Incidence of acute Pulmonary Embolism in COVID-19 patients: systematic review and meta-analysis. Pulmonary Embolism and COVID-19,European Journal of Internal Medicine,10.1016/j.ejim.2020.09.006,21
pub.1128766685,"ARIA‐EAACI statement on asthma and COVID‐19 (June 2, 2020)",Allergy,10.1111/all.14471,21
pub.1130226865,COVID-19 pandemic: Pathophysiology and manifestations from the gastrointestinal tract,World Journal of Gastroenterology,10.3748/wjg.v26.i31.4579,21
pub.1127146987,Urolithiasis Practice Patterns Following the COVID-19 Pandemic: Overview from the EULIS Collaborative Research Working Group,European Urology,10.1016/j.eururo.2020.04.057,21
pub.1128230796,Long-term and herd immunity against SARS-CoV-2: implications from current and past knowledge.,Pathogens and Disease,10.1093/femspd/ftaa025,21
pub.1131270392,Impact of the COVID-19 Pandemic on Cancer Care: A Global Collaborative Study.,JCO Global Oncology,10.1200/go.20.00351,21
