id;type;full_date;year;month;title;fek;page;tomos;tomos_url
11;ΑΠΟΦΑΣΗ ΥΠΟΥΡΓΩΝ ΠΑΙΔΕΙΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ – ΥΓΕΙΑΣ Αριθμ. Δ1α/ΓΠ.οικ. 15072;4/4.3.2020;2020;3;Επιβολή του μέτρου προσωρινής απαγόρευσης λειτουργίας όλων των σχολικών μονάδων και πάσης φύσεως εκπαιδευτικών δομών, φορέων και ιδρυμάτων, δημοσίων και ιδιωτικών, κάθε τύπου και βαθμού, των Περιφερειακών Ενοτήτων Ηλείας, Αχαΐας και Ζακύνθου, για το χρονικό διάστημα από 5.3.2020 έως και 6.3.2020;(Β΄ 701);67;Ι;https://tinyurl.com/pandektis01
12;ΑΠΟΦΑΣΗ ΥΠΟΥΡΓΩΝ ΠΑΙΔΕΙΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ – ΥΓΕΙΑΣ Αριθμ. Δ1α/Γ.Π.οικ. 15534;5/5.3.2020;2020;3;Επιβολή του μέτρου προσωρινής απαγόρευσης λειτουργίας των πάσης φύσεως δομών του Πανεπιστημίου Κρήτης, που εδρεύουν στο Ρέθυμνο, για το χρονικό διάστημα από 5.3.2020 έως και 6.3.2020;(Β΄ 708);68;Ι;https://tinyurl.com/pandektis01
13;ΑΠΟΦΑΣΗ ΥΠΟΥΡΓΩΝ ΠΡΟΣΤΑΣΙΑΣ ΤΟΥ ΠΟΛΙΤΗ - ΥΓΕΙΑΣ - ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ – ΕΣΩΤΕΡΙΚΩΝ Αριθμ. Δ1α/Γ.Π.οικ. 15906;6/6.3.2020;2020;3;Επιβολή του μέτρου προσωρινής απαγόρευσης λειτουργίας θεάτρων, κινηματογράφων, χώρων αθλητικών και καλλιτεχνικών εκδηλώσεων, αρχαιολογικών χώρων και μουσείων των Περιφερειακών Ενοτήτων Ηλείας, Αχαΐας και Ζακύνθου, για το χρονικό διάστημα από 7-3-2020 έως και 18-3-2020, μη συμπεριλαμβανομένης της τελετής αφής της ολυμπιακής φλόγας;(Β΄ 723);69;Ι;https://tinyurl.com/pandektis01
14;ΑΠΟΦΑΣΗ ΥΠΟΥΡΓΩΝ ΠΑΙΔΕΙΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ – ΥΓΕΙΑΣ Αριθμ. Δ1α/ΓΠ.οικ.15910;6/6.3.2020;2020;3;Προσωρινή αναστολή όλων των οργανωμένων εκπαιδευτικών εκδρομών από και προς τις Περιφερειακές Ενότητες Αχαΐας, Ηλείας και Ζακύνθου, για το χρονικό διάστημα από 7-3-2020 έως και 20-3-2020;(Β΄ 724);70;I;https://tinyurl.com/pandektis01
15;ΑΠΟΦΑΣΗ ΥΠΟΥΡΓΩΝ ΠΑΙΔΕΙΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ – ΥΓΕΙΑΣ Αριθμ. Δ1α/Γ.Π.οικ.15911;6/6.3.2020;2020;3;Προσωρινή αναστολή όλων των οργανωμένων εκπαιδευτικών εκδρομών εκτός Ελλάδος;(Β΄ 724);71;Ι;https://tinyurl.com/pandektis01
16;ΑΠΟΦΑΣΗ ΥΠΟΥΡΓΩΝ ΠΑΙΔΕΙΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ – ΥΓΕΙΑΣ, Αριθμ. Δ1α/ΓΠ.οικ. 15942;6/8.3.2020;2020;3;Επιβολή του μέτρου προσωρινής απαγόρευσης λειτουργίας όλων των σχολικών μονάδων και πάσης φύσεως εκπαιδευτικών δομών, φορέων και ιδρυμάτων, δημοσίων και ιδιωτικών, κάθε τύπου και βαθμού, των Περιφερειακών Ενοτήτων Ηλείας, Αχαΐας και Ζακύνθου, για το χρονικό διάστημα από 9.3.2020 έως και 18.3.2020, εξαιρουμένων των φοιτητικών εστιών;(Β΄ 725);71;Ι;https://tinyurl.com/pandektis01
17;ΑΠΟΦΑΣΗ ΥΠΟΥΡΓΩΝ ΑΝΑΠΤΥΞΗΣ ΚΑΙ ΕΠΕΝΔΥΣΕΩΝ - ΠΡΟΣΤΑΣΙΑΣ ΤΟΥ ΠΟΛΙΤΗ - ΥΓΕΙΑΣ - ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ – ΕΣΩΤΕΡΙΚΩΝ Αριθμ. Δ1α/ΓΠ.οικ. 15954;8/8.3.2020;2020;3;Επιβολή των μέτρων προσωρινής απαγόρευσης της παρουσίας κοινού σε αθλητικές εκδηλώσεις, της λειτουργίας χώρων διενέργειας συνεδριακών εκδηλώσεων και της λειτουργίας των Κέντρων Ανοιχτής Προστασίας Ηλικιωμένων (Κ.Α.Π.Η.);(Β΄ 726);72;Ι;https://tinyurl.com/pandektis01
18;ΑΠΟΦΑΣΗ ΥΠΟΥΡΓΩΝ ΠΑΙΔΕΙΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ – ΥΓΕΙΑΣ, Αριθμ. Δ1α/ΓΠ.οικ. 15956;8/8.3.2020;2020;3;Προσωρινή αναστολή όλων των οργανωμένων εκπαιδευτικών εκδρομών εντός της χώρας από 9.3.2020 έως και 22.3.2020;(Β΄ 727);74;Ι;https://tinyurl.com/pandektis01
19;ΑΠΟΦΑΣΗ ΥΠΟΥΡΓΩΝ ΠΑΙΔΕΙΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ – ΥΓΕΙΑΣ, Αριθμ. Δ1α/ΓΠ.οικ. 15958;8/8.3.2020;2020;3;Επιβολή του μέτρου προσωρινής απαγόρευσης λειτουργίας επιμέρους σχολείων, για το χρονικό διάστημα από 9.3.2020 έως και 23.3.2020;(Β΄ 728);74;Ι;https://tinyurl.com/pandektis01
20;ΑΠΟΦΑΣΗ ΥΠΟΥΡΓΩΝ ΠΡΟΣΤΑΣΙΑΣ ΤΟΥ ΠΟΛΙΤΗ – ΥΓΕΙΑΣ - ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟY – ΕΣΩΤΕΡΙΚΩΝ Αριθμ. Δ1α/ΓΠ.οικ. 16395;9/9.3.2020;2020;3;Επιβολή του μέ τρου προσωρινής απαγόρευσης λειτουργίας χώρων καλλιτεχνικών εκδηλώσεων, για το χρονικό διάστημα από 10.3.2020 έως και 24.3.2020;(Β΄ 731);75;Ι;https://tinyurl.com/pandektis01
21;ΑΠΟΦΑΣΗ ΥΠΟΥΡΓΩΝ ΠΑΙΔΕΙΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ – ΥΓΕΙΑΣ Αριθμ. Δ1α/ΓΠ.οικ. 16397;9/9.3.2020;2020;3;Επιβολή του μέτρου προσωρινής απαγόρευσης των πάσης φύσεως εκπαιδευτικών λειτουργιών με φυσική παρουσία των Ανώτατων Εκπαιδευτικών Ιδρυμάτων των Περιφερειακών Ενοτήτων Ηλείας, Αχαΐας και Ζακύνθου για το χρονικό διάστημα από 9.3.2020 έως και 18.3.2020;(Β΄ 731);76;Ι;https://tinyurl.com/pandektis01
22;ΑΠΟΦΑΣΗ ΥΠΟΥΡΓΩΝ ΠΑΙΔΕΙΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ – ΥΓΕΙΑΣ, Αριθμ. Δ1α/ΓΠ.οικ. 16398;9/9.3.2020;2020;3;Επιβολή του μέτρου προσωρινής απαγόρευσης λειτουργίας επιμέρους σχολείων, για το χρονικό διάστημα από 10.3.2020 έως και 24.3.2020;(Β΄ 731);77;Ι;https://tinyurl.com/pandektis01
23;ΑΠΟΦΑΣΗ ΥΠΟΥΡΓΩΝ ΠΡΟΣΤΑΣΙΑΣ ΤΟΥ ΠΟΛΙΤΗ - ΥΓΕΙΑΣ - ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ – ΕΣΩΤΕΡΙΚΩΝ Αριθμ. Δ1α/ΓΠ.οικ. 16837;10/10.3.2020;2020;3;Επιβολή του μέτρου προσωρινής απαγόρευσης λειτουργίας χώρων αθλητικών εκδηλώσεων και άλλων αθλητικών εγκαταστάσεων με παρουσία άνω των εξήντα (60) ατόμων στον αγωνιστικό χώρο διεξαγωγής του αθλήματος;(Β΄ 782);77;Ι;https://tinyurl.com/pandektis01
24;ΑΠΟΦΑΣΗ ΥΠΟΥΡΓΩΝ ΑΝΑΠΤΥΞΗΣ ΚΑΙ ΕΠΕΝΔΥΣΕΩΝ - ΠΡΟΣΤΑΣΙΑΣ ΤΟΥ ΠΟΛΙΤΗ - ΠΑΙΔΕΙΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ - ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΩΝ ΥΠΟΘΕΣΕΩΝ - ΥΓΕΙΑΣ - ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ – ΕΣΩΤΕΡΙΚΩΝ Αριθμ. Δ1α/ΓΠ.οικ. 16838;10/10.3.2020;2020;3;Επιβολή του μέτρου της προσωρινής απαγόρευσης λειτουργίας των βρεφονηπιακών και παιδικών σταθμών, νηπιαγωγείων, σχολικών μονάδων, ανωτάτων εκπαιδευτικών ιδρυμάτων, κέντρων ξένων γλωσσών, φροντιστηρίων και πάσης φύσεως εκπαιδευτικών δομών, φορέων και ιδρυμάτων, δημοσίων και ιδιωτικών, κάθε τύπου και βαθμού της χώρας για το χρονικό διάστημα από 11.3.2020 έως και 24.3.2020;(Α΄ 53);79;Ι;https://tinyurl.com/pandektis01
25;ΠΡΑΞΗ ΝΟΜΟΘΕΤΙΚΟΥ ΠΕΡΙΕΧΟΜΕΝΟΥ;11.3.2020;2020;3;Κατεπείγοντα μέτρα αντιμετώπισης των αρνητικών συνεπειών της εμφάνισης του κορωνοϊού COVID -19 και της ανάγκης περιορισμού της διάδοσής του;(Α΄ 55);80;Ι;https://tinyurl.com/pandektis01
26;ΑΠΟΦΑΣΗ ΥΠΟΥΡΓΩΝ ΑΝΑΠΤΥΞΗΣ ΚΑΙ ΕΠΕΝΔΥΣΕΩΝ - ΠΡΟΣΤΑΣΙΑΣ ΤΟΥ ΠΟΛΙΤΗ - ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΩΝ ΥΠΟΘΕΣΕΩΝ - ΥΓΕΙΑΣ - ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ – ΕΣΩΤΕΡΙΚΩΝ Αριθμ. Δ1α/ΓΠ.οικ. 17733;12/12.3.2020;2020;3;Επιβολή του μέτρου τη ς προσωρινής απαγόρευσης λειτουργίας θεάτρων, κινηματογράφων, χώρων καλλιτεχνικών εκδηλώσεων, κέντρων διασκέδασης, παιδότοπων, δημόσιων και ιδιωτικών γυμναστηρίων, ιδιωτικών σχολών εκμάθησης αθλημάτων, κολυμβητηρίων κλειστών και ανοικτών στο σύνολο της Επικράτειας, για το χρονικό διάστημα από 13.3.2020 έως και 27.3.2020;(Β΄ 833);125;Ι;https://tinyurl.com/pandektis01
27;ΑΠΟΦΑΣΗ ΥΠΟΥΡΓΩΝ EΘΝΙΚΗΣ ΑΜΥΝΑΣ - ΥΓΕΙΑΣ – ΔΙΚΑΙΟΣΥΝΗΣ Αριθμ. Δ1α/ΓΠ.οικ. 17734;12/12.3.2020;2020;3;Επιβολή του μέτρου της προσωρινής αναστολής λειτουργίας όλων των Δικαστηρίων και Εισαγγελιών στο σύνολο της Επικράτειας και της Εθνικής Σχολής Δικαστικών Λειτουργών, για το χρονικό διάστημα από 13.3.2020 έως και 27.3.2020;(B΄ 833);127;Ι;https://tinyurl.com/pandektis01
28;ΑΠΟΦΑΣΗ ΥΠΟΥΡΓΩΝ ΟΙΚΟΝΟΜΙΚΩΝ – ΥΓΕΙΑΣ Αριθμ. οικ. 1542;11/13.3.2020;2020;3;Υλοποίηση μέτρων αποφυγής και περιορισμού της διάδοσης κορωνοϊού;(B΄ 848);130;Ι;https://tinyurl.com/pandektis01
29;ΑΠΟΦΑΣΗ ΥΠΟΥΡΓΩΝ ΟΙΚΟΝΟΜΙΚΩΝ – ΕΣΩΤΕΡΙΚΩΝ – ΕΠΙΚΡΑΤΕΙΑΣ Αριθμ. 429;12/13.3.2020;2020;3;Αντικατάσταση της υπ΄ αριθμ. ΔΙΑΔΠ/Α/7841/19.04.2005 κοινής υπουργικής απόφασης (Β΄ 539). (B΄ 850) 134;(B΄ 850);134;Ι;https://tinyurl.com/pandektis01
30;ΑΠΟΦΑΣΗ ΥΠΟΥΡΓΟΥ ΠΑΙΔΕΙΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ Αριθμ. 37528/Υ1;13/13.3.2020;2020;3;Είσοδος του κοινού στο κτήριο του Υπουργείου Παιδείας και Θρησκευμάτων;(B΄ 852);139;Ι;https://tinyurl.com/pandektis01
31;ΑΠΟΦΑΣΗ ΥΠΟΥΡΓΟΥ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΩΝ ΥΠΟΘΕΣΕΩΝ Αριθμ. 12338/Δ1.4372;12/13.3.2020;2020;3;Τροποποίηση της 40331/Δ1.13521/13 -9-2019 (Β΄ 352 0/19-9-2019) «Επανακαθορισμός όρων ηλεκτρονικής υποβολής εντύπων αρμοδιότητας Σώματος Επιθεώρησης Εργασίας (ΣΕΠΕ) και Οργανισμού Απασχολήσεως Εργατικού Δυναμικού (ΟΑΕΔ);(B΄ 854);141;Ι;https://tinyurl.com/pandektis01
32;ΑΠΟΦΑΣΗ ΥΠΟΥΡΓΩΝ ΑΝΑΠΤΥΞΗΣ ΚΑΙ ΕΠΕΝΔΥΣΕΩΝ - ΠΡΟΣΤΑΣΙΑΣ ΤΟΥ ΠΟΛΙΤΗ - ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΩΝ ΥΠΟΘΕΣΕΩΝ – ΥΓΕΙΑΣ - ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ – ΕΣΩΤΕΡΙΚΩΝ Αριθμ. Δ1α/ΓΠ.οικ. 18149;13/13.3.2020;2020;3;Επιβολή του μέτρου της προσωρινής απαγόρευσης λειτουργίας επιμέρους ιδιωτικών επιχειρήσεων, μουσείων, αρχαιολογικών και ιστορικών χώρων, αθλητικών εγκαταστάσεων, καθώς και γενικά χώρων συνάθροισης κοινού, στο σύνολο της Επικράτειας, για το χρονικό διάστημα από 14.3.2020 έως και 27.3.2020;(B΄ 855);151;Ι;https://tinyurl.com/pandektis01
33;ΑΠΟΦΑΣΗ ΥΠΟΥΡΓΩΝ ΠΑΙΔΕΙΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ – ΥΓΕΙΑΣ Αριθμ. Δ1α/Γ.Π.οικ.18150;13/13.3.2020;2020;3;Προσωρινή αναστολή μετακινήσεων και επισκέψεων μαθητών και εκπαιδευτικών και διαδικασία απαγόρευσης λειτουργίας ελληνόγλωσσων σχολικών μονάδων και πάσης φύσεως εκπαιδευτικών δομών του εξωτερικού, για το χρονικό διάστημα από 14.3.2020 έως και 27.3.2020;(B΄ 855);151;Ι;https://tinyurl.com/pandektis01
34;ΑΠΟΦΑΣΗ ΔΙΟΙΚΗΤΗ ΤΗΣ ΑΝΕΞΑΡΤΗΤΗΣ ΑΡΧΗΣ ΔΗΜΟΣΙΩΝ ΕΣΟΔΩΝ Αριθμ. Α.1046;12/14.3.2020;2020;3;Αναστολή λειτουργίας Φορολογικής και Τελωνειακής Ακαδημίας της ΑΑΔΕ (Ανεξάρτητη Αρχή Δημοσίων Εσόδων) για το χρονικό διάστημα 11.3.2020 έως και 24.3.2020;(Β΄ 856);152;Ι;https://tinyurl.com/pandektis01
35;ΑΠΟΦΑΣΗ ΥΠΟΥΡΓΩΝ ΑΝΑΠΤΥΞΗΣ ΚΑΙ ΕΠΕΝΔΥΣΕΩΝ - ΠΡΟΣΤΑΣΙΑΣ ΤΟΥ ΠΟΛΙΤΗ - ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΩΝ ΥΠΟΘΕΣΕΩΝ - ΥΓΕΙΑΣ – ΕΣΩΤΕΡΙΚΩΝ Αριθμ. 18152;14/14.3.2020;2020;3;Επιβολή του μέτρου της προσωρινής απαγόρευσης λειτουργίας εποχικών τουριστικών καταλυμάτων από 15.3.2020 έως και 30.4.2020;(Β΄ 857);153;Ι;https://tinyurl.com/pandektis01
36;ΑΠΟΦΑΣΗ ΔΙΟΙΚΗΤΗ ΤΗΣ ΑΝΕΞΑΡΤΗΤΗΣ ΑΡΧΗΣ ΔΗΜΟΣΙΩΝ ΕΣΟΔΩΝ Αριθμ. ΔΔΑΔ Α 1037653 ΕΞ 2020;13/14.3.2020;2020;3;Μέτρα κατά της διασποράς του κορωνοϊού COVID-19 σε χώρους λειτουργίας των υπηρεσιών της Ανεξάρτητης Αρχής Δημοσίων Εσόδων;(B΄ 858);154;Ι;https://tinyurl.com/pandektis01
37;ΑΠΟΦΑΣΗ ΥΠΟΥΡΓΩΝ ΑΝΑΠΤΥΞΗΣ ΚΑΙ ΕΠΕΝΔΥΣΕΩΝ - ΠΡΟΣΤΑΣIΑΣ ΤΟΥ ΠΟΛΙΤΗ - ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΩΝ ΥΠΟΘΕΣΕΩΝ - ΥΓΕΙΑΣ – ΕΣΩΤΕΡΙΚΩΝ Αριθμ. Δ1α/ΓΠ.οικ.18159;14/14.3.2020;2020;3;Επιβολή του μέτρου της προσωρινής απαγόρευσης λειτουργίας όλων των οργανωμένων παραλιών (δημόσιων, δημοτικών, ιδιωτικών), των χιονοδρομικών κέντρων, των αγορών των άρθρων 37 και 38 του ν. 4497/2017 (Α΄ 171) και ρύθμιση σχετικών ζητημάτων;(Β΄ 859);160;Ι;https://tinyurl.com/pandektis01
38;ΠΡΑΞΗ ΝΟΜΟΘΕΤΙΚΟΥ ΠΕΡΙΕΧΟΜΕΝΟΥ;14.3.2020;2020;3;Κατεπείγοντα μέτρα αντιμετώπισης της ανάγκης περιορισμού της διασποράς του κορωνοϊού COVID -19;(Α΄ 64);162;Ι;https://tinyurl.com/pandektis01
39;ΑΠΟΦΑΣΗ ΥΠΟΥΡΓΩΝ ΥΓΕΙΑΣ - ΥΠΟΔΟΜΩΝ ΚΑΙ ΜΕΤΑΦΟΡΩΝ - ΝΑΥΤΙΛΙΑΣ ΚΑΙ ΝΗΣΙΩΤΙΚΗΣ ΠΟΛΙΤΙΚΗΣ Αριθμ. Δ1α/ΓΠ.οικ.18170;15/15.3.2020;2020;3;Επιβολή του μέτρου του προσωρινού περιορισμού συνδέσεων με το εξωτερικό και κατάπλου πλοίων αναψυχής προς περιορισμό της διάδοσης του κορωνοϊού CΟVID -19;(Β΄ 860);204;Ι;https://tinyurl.com/pandektis01
40;ΑΠΟΦΑΣΗ ΥΦΥΠΟΥΡΓΟΥ ΣΤΟΝ ΠΡΩΘΥΠΟΥΡΓΟ Αριθμ. 179;15/15.3.2020;2020;3;Δωρεάν μετάδοση ενημερωτικών μηνυμάτων για την προστασία της δημόσιας υγείας και τα μέτρα για την αποφυγή της διάδοσης του κορωνοϊού COVID -19 από τηλεοπτικούς και ραδιοφωνικούς σταθμούς;(B΄ 861);206;Ι;https://tinyurl.com/pandektis01
41;ΑΠΟΦΑΣΗ ΥΠΟΥΡΓΩΝ ΑΝΑΠΤΥΞΗΣ ΚΑΙ ΕΠΕΝΔΥΣΕΩΝ - ΠΡΟΣΤΑΣΙΑΣ ΤΟΥ ΠΟΛΙΤΗ - ΥΓΕΙΑΣ – ΕΣΩΤΕΡΙΚΩΝ - ΥΠΟΔΟΜΩΝ ΚΑΙ ΜΕΤΑΦΟΡΩΝ Αριθμ. 18175;15/15.3.2020;2020;3;Επιβολή του μέτρου της προσωρινής απαγόρευσης λειτουργίας αναβατήρων (τελεφερίκ), στο σύνολο της Επικράτειας, για το χρονικό διάστημα από 16.3.2020 έως και 29.3.2020;(Β΄ 862);210;Ι;https://tinyurl.com/pandektis01
42;ΑΠΟΦΑΣΗ ΠΡΟΕΔΡΟΥ ΤΗΣ ΕΠΙΤΡΟΠΗΣ ΑΝΤΑΓΩΝΙΣΜΟΥ Αριθμ. οικ. 2175;13/15.3.2020;2020;3;Περιορισμός της λειτουργίας της Επιτροπής Ανταγωνισμού και εξ αποστάσεως παροχή εργασίας με τη χρήση ηλεκτρονικών μέσων και περιορισμός των ωρών εισόδου κοινού σύμφωνα με το άρθρο 5 της από 11.03.2020 πράξης νομοθετικού περιεχομένου (ΦΕΚ 55 Α΄);(B΄ 863);211;Ι;https://tinyurl.com/pandektis01
43;ΑΠΟΦΑΣΗ ΔΙΟΙΚΗΤΙΚΟΥ ΣΥΜΒΟΥΛΙΟΥ ΤΟΥ ΤΑΜΕΙΟΥ ΠΑΡΑΚΑΤΑΘΗΚΩΝ ΚΑΙ ΔΑΝΕΙΩΝ (Συνεδρίαση 3708/15 -3-2020);15/15.3.2020;2020;3;Περιορισμός λειτουργίας του Ταμείου Παρακαταθηκών και Δανείων και καθορισμός ωρών προσέλευσης κοινού στο πλαίσιο λήψης μέτρων πρόληψης και προστασίας της δημόσιας υγείας έναντι του κορωνοϊού, σύμφωνα με την από 11.3.2020 εκδοθείσα πράξη νομοθετικού περιεχομένου (ΦΕΚ 55 Α΄);(B΄ 863);213;Ι;https://tinyurl.com/pandektis01
44;ΑΠΟΦΑΣΗ ΥΠΟΥΡΓΩΝ ΕΘΝΙΚΗΣ ΑΜΥΝΑΣ - ΥΓΕΙΑΣ – ΔΙΚΑΙΟΣΥΝΗΣ Αριθμ. Δ1α/ΓΠ.οικ.18176;15/15.3.2020;2020;3;Επιβολή του μέτρου της προσωρινής αναστολής λειτουργίας όλων των Δικαστηρίων και Εισαγγελιών στο σύνολο της Επικράτειας και της Εθνικής Σχολής Δικαστικών Λειτουργών, για το χρονικό διάστημα από 16.3.2020 έως και 27.3.2020;(B΄ 864);215;Ι;https://tinyurl.com/pandektis01
