country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-01-15,-63,-5,-25,-56,-37,12
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-01-16,-73,-14,-46,-67,-38,13
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-01-17,-70,-8,-21,-62,-35,11
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-01-18,-42,-12,-14,-50,-35,10
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-01-19,-44,-9,-15,-47,-34,10
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-01-20,-43,-4,0,-46,-32,9
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-01-21,-42,-2,2,-44,-32,9
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-01-22,-47,-2,-6,-46,-32,11
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-01-23,-53,-2,-16,-48,-26,10
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-01-24,-51,39,19,-43,-24,9
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-01-25,-39,-4,17,-43,-31,9
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-01-26,-49,-8,-25,-49,-33,10
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-01-27,-47,-5,-18,-50,-32,11
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-01-28,-41,2,-2,-45,-31,10
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-01-29,-41,6,-1,-43,-31,10
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-01-30,-51,6,0,-49,-24,9
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-01-31,-60,7,25,-49,-27,9
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-02-01,-44,0,1,-48,-30,8
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-02-02,-45,2,6,-44,-30,8
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-02-03,-45,-1,17,-46,-29,7
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-02-04,-45,2,16,-44,-30,7
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-02-05,-48,3,11,-45,-30,8
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-02-06,-61,-4,15,-54,-30,9
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-02-07,-64,-5,27,-53,-32,9
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-02-08,-48,-3,3,-47,-32,8
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-02-09,-47,3,4,-45,-31,8
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-02-10,-44,5,19,-43,-30,7
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-02-11,-55,2,-7,-52,-34,10
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-02-12,-55,12,4,-51,-33,10
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-02-13,-67,-2,-35,-64,-34,12
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-02-14,-72,-14,-33,-68,-40,14
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-02-15,-61,-13,-25,-61,-45,15
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-02-16,-66,-20,-11,-70,-59,20
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-02-17,-58,0,-12,-60,-44,15
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-02-18,-53,8,-2,-51,-34,11
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-02-19,-55,10,9,-50,-33,11
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-02-20,-61,2,7,-54,-29,10
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-02-21,-64,-1,18,-54,-32,10
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-02-22,-47,2,32,-46,-32,8
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-02-23,-51,4,22,-47,-32,9
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-02-24,-49,6,31,-47,-32,9
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-02-25,-50,9,17,-47,-32,9
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-02-26,-51,16,23,-46,-32,10
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-02-27,-56,7,34,-49,-28,8
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-02-28,-63,3,21,-52,-31,9
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-03-01,-46,7,33,-44,-31,8
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-03-02,-52,7,2,-48,-32,9
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-03-03,-48,17,25,-46,-31,8
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-03-04,-55,9,8,-50,-34,10
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-03-05,-58,5,9,-50,-36,12
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-03-06,-62,4,10,-55,-30,10
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-03-07,-67,-1,7,-57,-33,11
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-03-08,-50,4,24,-48,-34,10
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-03-09,-55,4,6,-50,-35,10
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-03-10,-54,7,15,-48,-34,11
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-03-11,-57,9,-6,-52,-35,11
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-03-12,-55,21,16,-48,-34,11
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-03-13,-59,21,21,-52,-28,9
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-03-14,-60,28,36,-52,-28,10
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-03-15,-60,-54,40,-65,-76,19
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-03-16,-58,5,-9,-50,-36,11
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-03-17,-55,7,10,-48,-35,11
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-03-18,-54,9,12,-48,-35,11
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-03-19,-57,11,9,-48,-35,13
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-03-20,-65,6,-13,-55,-29,11
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-03-21,-66,2,11,-51,-30,11
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-03-22,-48,8,23,-46,-34,10
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-03-23,-56,8,-19,-53,-35,11
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-03-24,-48,36,15,-46,-34,9
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-03-25,-66,-62,23,-67,-74,22
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-03-26,-52,22,20,-47,-35,12
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-03-27,-54,14,45,-45,-24,8
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-03-28,-53,21,80,-40,-26,7
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-03-29,-44,9,55,-43,-33,9
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-03-30,-48,13,26,-46,-33,9
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-03-31,-51,10,6,-50,-34,10
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-04-01,-50,14,19,-46,-33,10
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-04-02,-49,20,40,-42,-32,10
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-04-03,-49,15,66,-38,-23,5
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-04-04,-51,24,76,-36,-26,6
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-04-05,-42,13,33,-41,-32,8
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-04-06,-43,13,27,-41,-32,9
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-04-07,-42,14,45,-40,-32,8
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-04-08,-46,17,15,-43,-32,10
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-04-09,-46,21,23,-42,-31,10
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-04-10,-45,18,59,-35,-21,5
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-04-11,-45,34,104,-31,-25,5
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-04-12,-35,16,65,-36,-28,6
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-04-13,-41,19,32,-38,-29,7
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-04-14,-38,20,52,-37,-28,7
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-04-15,-36,22,50,-35,-28,7
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-04-16,-44,19,23,-39,-28,8
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-04-17,-46,17,43,-36,-20,6
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-04-18,-50,32,75,-34,-24,6
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-04-19,-35,19,48,-35,-27,6
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-04-20,-35,22,43,-35,-27,6
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-04-21,-33,24,58,-33,-27,6
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-04-22,-33,25,53,-33,-26,6
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-04-23,-39,27,34,-32,-27,7
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-04-24,-50,18,-11,-45,-20,7
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-04-25,-37,127,73,-26,-9,5
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-04-26,-16,35,101,-28,-28,4
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-04-27,-22,40,71,-29,-29,4
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-04-28,-19,49,79,-27,-29,3
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-04-29,-17,63,86,-25,-34,4
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-04-30,-28,42,103,-39,-59,12
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-05-01,-38,37,55,-40,-28,5
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-05-02,-52,0,47,-54,-36,2
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-05-03,-17,-57,164,-50,-72,10
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-05-04,-26,-49,115,-47,-69,10
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-05-05,-10,50,72,-28,-29,3
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-05-06,-10,37,75,-35,-29,4
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-05-07,-17,30,63,-35,-28,4
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-05-08,-21,17,59,-33,-12,1
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-05-09,-16,76,68,-28,-8,2
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-05-10,-10,33,74,-31,-21,2
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-05-11,-14,32,55,-32,-21,2
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-05-12,-12,34,62,-30,-21,2
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-05-13,-11,42,64,-27,-21,1
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-05-14,-12,32,64,-25,-21,1
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-05-15,-18,19,56,-22,-15,0
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-05-16,-7,57,100,-13,-10,-2
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-05-17,-3,30,94,-21,-19,0
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-05-18,-8,30,69,-24,-18,0
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-05-19,-6,33,82,-25,-18,0
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-05-20,-6,41,70,-26,-18,0
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-05-21,-8,32,68,-22,-18,0
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-05-22,-14,19,79,-18,-10,-1
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-05-23,-6,60,119,-8,-9,-3
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-05-24,-1,34,107,-20,-17,-1
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-05-25,-7,34,80,-23,-17,0
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-05-26,-3,35,94,-22,-17,0
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-05-27,-1,41,88,-20,-15,-1
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-05-28,-4,40,85,-16,-15,-1
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-05-29,-6,27,99,-12,-8,-3
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-05-30,-9,68,109,-7,-8,-3
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-05-31,4,42,105,-16,-13,-1
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-06-01,-1,43,78,-17,-13,0
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-06-02,2,42,97,-16,-13,-1
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-06-03,3,44,98,-16,-12,-1
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-06-04,-2,40,94,-13,-12,-1
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-06-05,-5,26,107,-8,-6,-3
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-06-06,-3,74,142,1,-5,-5
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-06-07,5,43,122,-13,-12,-1
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-06-08,0,42,94,-17,-11,-1
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-06-09,-2,37,87,-18,-12,0
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-06-10,3,44,103,-30,-15,0
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-06-11,-7,36,82,-14,-14,0
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-06-12,-8,25,86,-11,-5,-2
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-06-13,-5,72,129,1,-3,-3
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-06-14,6,39,120,-13,-15,-1
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-06-15,2,41,97,-14,-13,-1
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-06-16,7,39,123,-22,-16,-1
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-06-17,5,39,118,-3,-15,-2
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-06-18,-2,34,116,2,-17,-3
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-06-19,-5,21,138,10,-9,-6
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-06-20,6,81,203,7,-9,-6
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-06-21,11,-6,251,-4,-54,-3
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-06-22,5,41,131,-1,-16,-4
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-06-23,9,36,150,-4,-15,-3
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-06-24,12,42,148,-2,-14,-3
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-06-25,5,38,140,1,-16,-3
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-06-26,-4,21,142,8,-7,-6
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-06-27,2,82,185,20,-4,-8
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-06-28,21,39,197,7,-16,-5
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-06-29,10,35,146,0,-16,-5
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-06-30,16,40,169,2,-15,-5
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-07-01,14,46,165,5,-17,-4
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-07-02,8,45,152,10,-17,-4
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-07-03,3,28,162,21,-5,-7
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-07-04,10,99,214,36,-1,-10
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-07-05,29,46,238,18,-17,-5
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-07-06,20,47,187,12,-16,-5
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-07-07,24,46,212,11,-17,-5
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-07-08,23,50,201,16,-16,-5
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-07-09,13,44,184,18,-17,-4
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-07-10,4,27,183,28,-5,-7
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-07-11,15,129,222,44,4,-10
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-07-12,31,46,271,24,-18,-6
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-07-13,22,48,215,18,-17,-5
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-07-14,28,46,229,19,-17,-5
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-07-15,26,52,216,20,-16,-5
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-07-16,15,45,198,21,-18,-5
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-07-17,6,28,195,31,-5,-8
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-07-18,13,111,235,47,0,-9
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-07-19,36,50,284,27,-19,-6
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-07-20,28,48,230,21,-18,-5
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-07-21,30,47,253,20,-18,-5
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-07-22,30,52,238,21,-17,-5
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-07-23,18,46,214,22,-18,-4
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-07-24,8,30,202,35,-4,-7
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-07-25,19,120,246,52,3,-9
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-07-26,42,51,316,28,-20,-7
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-07-27,31,53,248,23,-18,-5
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-07-28,33,51,263,21,-18,-5
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-07-29,33,57,247,23,-18,-5
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-07-30,18,50,215,23,-19,-5
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-07-31,7,32,201,37,-4,-8
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-08-01,16,125,251,55,3,-9
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-08-02,41,55,324,26,-25,-5
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-08-03,27,50,252,17,-25,-4
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-08-04,33,51,286,17,-26,-4
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-08-05,33,55,273,21,-25,-5
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-08-06,17,48,231,20,-27,-3
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-08-07,8,32,215,39,-7,-7
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-08-08,21,135,271,54,4,-8
