Α/Α,ΥΠΟΥΡΓΕΙΟ,ΑΠΟΦΑΣΕΙΣ/ΜΕΤΡΑ,ΔΙΑΤΑΞΕΙΣ,ΦΕΚ,ΠΡΟΘΕΣΜΙΑ ΕΩΣ:,LINK,ΣΧΟΛΙΑ - ΛΗΞΗ
82,ΟΙΚΟΝΟΜΙΚΩΝ,"Αριθμ. 1062 
 Τροποποίηση της Α.1053/2020 (ΦΕΚ 949 Α΄) και του συνημμένου Πίνακα Κωδικών Αριθμών Δραστηριότητας επιχειρήσεων",Άρθρο 2 παρ. 2 της από 11.3.2020 (ΦΕΚ 55 Α΄) πράξης νομοθετικού περιεχομένου «Κατεπείγοντα μέτρα για την αντιμετώπιση των αρνητικών συνεπειών της εμφάνισης του κορωνοϊού COVID-19 και της ανάγκης περιορισμού της διάδοσής του»,Β1043/26-3-20,Τροποποίησε 949 Β΄,http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL8-11WGLkYj8a4ndCieBbLVuJInJ48_97uHrMts-zFzeyCiBSQOpYnTy36MacmUFCx2ppFvBej56Mmc8Qdb8ZfRJqZnsIAdk8Lv_e6czmhEembNmZCMxLMtbqPwIQ7te_LDxxFJlgQqctir5vzu985ywIWMbflzyQk,έως 31/8
83,ΟΙΚΟΝΟΜΙΚΩΝ,"Αριθμ. 1063 
 Τροποποίηση της Α.1054/2020 (ΦΕΚ 950Α΄) και του συνημμένου Πίνακα Κωδικών Αριθμών Δρατηριότητας επιχειρήσεων",Άρθρο 1 παρ. 2 της από 11.3.2020 (ΦΕΚ 55 Α΄) πράξης νομοθετικού περιεχομένου «Κατεπείγοντα μέτρα για την αντιμετώπιση των αρνητικών συνεπειών της εμφάνισης του κορωνοϊού COVID-19 και της ανάγκης περιορισμού της διάδοσής του»,Β1043/26-3-20,Τροποποίησε 950 Β΄,http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL8-11WGLkYj8a4ndCieBbLVuJInJ48_97uHrMts-zFzeyCiBSQOpYnTy36MacmUFCx2ppFvBej56Mmc8Qdb8ZfRJqZnsIAdk8Lv_e6czmhEembNmZCMxLMtbqPwIQ7te_LDxxFJlgQqctir5vzu985ywIWMbflzyQk,έως 31/8
84,ΟΙΚΟΝΟΜΙΚΩΝ - ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΩΝ ΥΠΟΘΕΣΕΩΝ,"Αριθμ. Δ.15/Δ’/οικ. 13226/325
 Καθορισμός λεπτομερειών εφαρμογής του άρθρου 3 της από 11.03.2020 ΠΝΠ (ΦΕΚ 55/Α’) με την οποία λαμβάνονται κατεπείγοντα μέτρα αντιμετώπισης των αρνητικών συνεπειών της εμφάνισης του κορωνοϊού COVID-19",Άρθρο 3 της από 11.3.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αντιμετώπισης των αρνητικών συνεπειών της εμφάνισης του κορωνοϊού COVID - 19 και της ανάγκης περιορισμού της διάδοσής του (Α’ 55),Β1044/26-3-20,Παράταση προθεσμίας καταβολής τρεχουσών ασφαλιστικών εισφορών μηνών Φεβρουαρίου και Μαρτίου 2020 έως 30/9/2020 και έως 31/10/2020 αντίστοιχα,http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL8-11WGLkYj8Z_zJjLAILKFuJInJ48_97uHrMts-zFzeyCiBSQOpYnTy36MacmUFCx2ppFvBej56Mmc8Qdb8ZfRJqZnsIAdk8Lv_e6czmhEembNmZCMxLMtcsI8y1jT5y4QFjqBRo6EfyjC8Lu1dKfk3dhKLLBnlKi,"έως 30/9 και 31/10 
 (τροποποιήθηκε από Β' 1384_2096)"
85,ΤΟΥΡΙΣΜΟΥ,"Αριθμ. 5248
 Συνέχιση λειτουργίας τουριστικών καταλυμάτων, κατ’ εξαίρεση της επιβληθείσας προσωρινής απαγόρευσης λειτουργίας και καθορισμός ειδικών όρων λειτουργίας τους","Άρθρο εξηκοστό όγδοο παρ. 4 της από 20.3.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα για την αντιμετώπιση των συνεπειών του κινδύνου διασποράς του κορωνοϊού COVID-19, τη στήριξη της κοινωνίας και της επιχειρηματικότητας και τη διασφάλιση της ομαλής λειτουργίας της αγοράς και της δημόσιας διοίκησης» (Α΄ 68).
 ##
 Άρθρο πρώτο της από 25.2.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αποφυγής και περιορισμού της διάδοσης κορωνοϊού» (Α΄ 42) και ιδίως της περίπτωσης ζ’ της παραγράφου 2 αυτού.",Β1073/27-3-20,30/04/2020,http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL8yNwbRNbiFj24ndCieBbLVuJInJ48_97uHrMts-zFzeyCiBSQOpYnTy36MacmUFCx2ppFvBej56Mmc8Qdb8ZfRJqZnsIAdk8Lv_e6czmhEembNmZCMxLMtT1kbLuASF0zOcZZtZFYlsCbKpsqn9XV5vDgRZvyX6KI,έως 30/4 (παρατάθηκε με Β' 1635 έως 31/5 και ώρα 12.00)
86,EΘΝΙΚΗΣ ΑΜΥΝΑΣ - ΥΓΕΙΑΣ - ΔΙΚΑΙΟΣΥΝΗΣ,"Αριθμ. Δ1α/Γ.Π.οικ.21159
 Επιβολή του μέτρου της προσωρινής αναστολής λειτουργίας όλων των Δικαστηρίων και Εισαγγελιών στο σύνολο της Επικράτειας και της Εθνικής Σχολής Δικαστικών Λειτουργών, για το χρονικό διάστημα από 28.3.2020 έως και 10.4.2020",Άρθρα 5 και 11 της από 11.3.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αντιμετώπισης των αρνητικών συνεπειών της εμφάνισης του κορωνοϊού COVID-19 και της ανάγκης περιορισμού της διάδοσής του» (Α΄ 55),Β1074/27-3-20,10/04/2020,http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL8yNwbRNbiFj1_zJjLAILKFuJInJ48_97uHrMts-zFzeyCiBSQOpYnTy36MacmUFCx2ppFvBej56Mmc8Qdb8ZfRJqZnsIAdk8Lv_e6czmhEembNmZCMxLMtah4a9EJOIbqFv06RXbo1o2qYqiRTtlXHDEK_L5HGl1H,έως 10/4. Παρατάθηκε με ΦΕΚ 1301 Β΄/10-4-20 έως 27/4
87,ΕΘΝΙΚΗΣ ΑΜΥΝΑΣ - ΥΓΕΙΑΣ,"Αριθμ. Δ1α/ΓΠ.οικ.21170
 Παραχώρηση των εγκαταστάσεων όλων των θαλάμων, κλινών νοσηλείας και κλινών αυξημένης φροντίδας του Νοσηλευτικού Ιδρύματος Μετοχικού Ταμείου Στρατού (Ν.Ι.Μ.Τ.Σ.) για την κάλυψη αναγκών δημόσιας υγείας, που συνδέονται με την αντιμετώπιση του κορωνοϊού COVID-19","Άρθρο τεσσαρακοστό πέμπτο παρ. 1 της από 20.3.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα για την αντιμετώπιση των συνεπειών του κινδύνου διασποράς του κορωνοϊού COVID-19, τη στήριξη της κοινωνίας και της επιχειρηματικότητας και τη διασφάλιση της ομαλής λειτουργίας της αγοράς και της δημόσιας διοίκησης» (Α΄ 68)",Β1075/27-3-20,24/06/2020,http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL8yNwbRNbiFj0liYHTRwL0-OJInJ48_97uHrMts-zFzeyCiBSQOpYnTy36MacmUFCx2ppFvBej56Mmc8Qdb8ZfRJqZnsIAdk8Lv_e6czmhEembNmZCMxLMtV7TCe5WDBfXfiyrW6YeRLdz5R2CN3looz5aGl99hkFs,έως 24/6
88,ΟΙΚΟΝΟΜΙΚΩΝ-ΥΓΕΙΑΣ,"Αριθμ. οικ.21168
 Καθορισμός τρόπου αποζημίωσης των αναγκαστικά διατιθέμενων προς χρήση για τη δημόσια υγεία, υλικών και εγκαταστάσεων",Άρθρα τέταρτο και πέμπτο της από 25.2.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αποφυγής και περιορισμού της διάδοσης κορωνοϊού» (Α΄ 42).,Β1076/27-3-20,-,http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL8yNwbRNbiFj0fP1Rf9veiteJInJ48_97uHrMts-zFzeyCiBSQOpYnTy36MacmUFCx2ppFvBej56Mmc8Qdb8ZfRJqZnsIAdk8Lv_e6czmhEembNmZCMxLMtfaJxP5GupSt0ZvVByzWsgzBE2AGypchdn0MtjCbiMmm,-
89,ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΩΝ ΥΠΟΘΕΣΕΩΝ,"Αριθμ. Δ.15/Δ΄/οικ.13412/327
 Καθορισμός λεπτομερειών εφαρμογής του άρθρου όγδοου της από 20.03.2020 Πράξης Νομοθετικού Περιεχομένου (Α΄ 68) με την οποία λαμβάνονται κατεπείγοντα μέτρα για την αντιμετώπιση των συνεπειών του κινδύνου διασποράς του κορωνοϊού COVID -19, τη στήριξη της κοινωνίας και της επιχειρηματικότητας και τη διασφάλιση της ομαλής λειτουργίας της αγοράς και της δημόσιας διοίκησης","Άρθρο όγδοο παρ. 2 της από 20.3.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα για την αντιμετώπιση των συνεπειών του κινδύνου διασποράς του κορωνοϊού COVID - 19, τη στήριξη της κοινωνίας και της επιχειρηματικότητας και τη διασφάλιση της ομαλής λειτουργίας της αγοράς και της δημόσιας διοίκησης» (Α΄ 68).",Β1077/27-3-20 (τροποποιήθηκε από Β' 1812 & 2225),"1.α. Για τους αυτοαπασχολούμενους και ελεύθερους επαγγελματίες του άρθρου 2 της παρούσας, η προθεσμία καταβολής των τρεχουσών ασφαλιστικών εισφορών, περιόδου απασχόλησης Φεβρουαρίου και Μαρτίου 2020, απαιτητών έως 31/3/2020 και 30/4/2020, αντίστοιχα, β. Οι εισφορές του προηγούμενου εδαφίου εξοφλούνται τμηματικά σε τέσσερις (4) ισόποσες μηνιαίες δόσεις, καταβλητέες μέχρι την τελευταία εργάσιμη ημέρα κάθε μήνα, με προθεσμία καταβολής της πρώτης δόσης έως 30/9/2020. 2. Για τους αυτοαπασχολούμενους και ελεύθερους επαγγελματίες του άρθρου 2 της παρούσας, η προθεσμία καταβολής των δόσεων ενεργών ρυθμίσεων, απαιτητών έως 31/3/2020, καθώς και η προθεσμία όλων των επόμενων μηνιαίων δόσεων της κάθε ρύθμισης, παρατείνεται κατά τρεις (3) μήνες. Αναστέλλεται μέχρι και 31/08/2020 η διαδικασία λήψης αναγκαστικών μέτρων για την είσπραξη ληξιπρόθεσμων οφειλών προς φορείς κοινωνικής ασφάλισης, ενώ διατηρούνται οι κατασχέσεις και υποθήκες που έχουν επιβληθεί.",http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL8yNwbRNbiFj33U4LPcASlceJInJ48_97uHrMts-zFzeyCiBSQOpYnTy36MacmUFCx2ppFvBej56Mmc8Qdb8ZfRJqZnsIAdk8Lv_e6czmhEembNmZCMxLMtZyqbKx31W7kGZDUG6fZ7CmLXrA1Ai3T1M_7jwD1MTav,Ενέχει συγκεκριμένες προθεσμίες πληρωμής ασφαλιστικών εισφορών
90,ΟΙΚΟΝΟΜΙΚΩΝ - ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΩΝ ΥΠΟΘΕΣΕΩΝ,"Αριθμ. 12998/232
 Μέτρα στήριξης εργαζομένων επιχειρήσεων-εργοδοτών του ιδιωτικού τομέα, που έχουν αριθμό μητρώου εργοδότη (ΑΜΕ) στον e- ΕΦΚΑ, των οποίων ή έχει ανασταλεί η επιχειρηματική τους δραστηριότητα, βάσει ΚΑΔ, με εντολή δημόσιας αρχής ή πλήττονται σημαντικά βάσει ΚΑΔ κύριας δραστηριότητας ή δευτερεύουσας βάσει των ακαθάριστων εσόδων έτους 2018, όπως ορίζονται από το Υπουργείο Οικονομικών, για την αντιμετώπιση των επιπτώσεων του κορωνοϊού COVID-19","Άρθρο δέκατο τρίτο της από 14/3/2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αντιμετώπισης της ανάγκης περιορισμού της διασποράς του κορωνοϊού COVID-19» (Α’ 64).
 ##
 Άρθρα ένατο, δέκατο και ενδέκατο της από 20/3/2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα για την αντιμετώπιση των συνεπειών του κινδύνου διασποράς του κορωνοϊού COVID-19, τη στήριξη της κοινωνίας και της επιχειρηματικότητας και τη διασφάλιση της ομαλής λειτουργίας της αγοράς και της δημόσιας διοίκησης» (Α’68).",Β1078/28-3-20,-,http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL8yNwbRNbiFj3uFUDqazHcNeJInJ48_97uHrMts-zFzeyCiBSQOpYnTy36MacmUFCx2ppFvBej56Mmc8Qdb8ZfRJqZnsIAdk8Lv_e6czmhEembNmZCMxLMtSMvm0m024awEtaFRYna2dJj0WizTQqWmbFPxeywvmI3,έως 10/4 (με ψηφίο ΑΦΜ)
91,ΟΙΚΟΝΟΜΙΚΩΝ,"Αριθμ. Α.1064
 Παράταση του χρόνου υποβολής δηλώσεων φόρου συγκέντρωσης κεφαλαίου, τελών χαρτοσήμου, περιβαλλοντικού τέλους πλαστικής σακούλας, φόρου διαμονής και δηλώσεων φόρου κληρονομιών, δωρεών, γονικών παροχών και κερδών από τυχερά παίγνια με καταληκτική ημερομηνία υποβολής εντός των μηνών Μαρτίου και Απριλίου 2020","Την ανάγκη εξυπηρέτησης και διευκόλυνσης των υπόχρεων σε υποβολή δηλώσεων φόρου συγκέντρωσης κεφαλαίου, τελών χαρτοσήμου, περιβαλλοντικού τέλους, φόρου διαμονής και δηλώσεων φόρου κληρονομιών, δωρεών, γονικών παροχών και κερδών από τυχερά παίγνια με καταληκτική ημερομηνία υποβολής εντός των μηνών Μαρτίου και Απριλίου 2020, λόγω των κατεπειγόντων μέτρων που λαμβάνονται για την αντιμετώπιση της ανάγκης περιορισμού της διασποράς του κορωνοϊού COVID-19. 
 (ΔΕΝ ΕΚΔΙΔΕΤΑΙ ΔΥΝΑΜΕΙ ΔΙΑΤΑΞΕΩΝ ΠΝΠ)",Β1079/28-3-20,"Παρατείνονται για δύο μήνες από τη λήξη τους, κατά περίπτωση, οι προθεσμίες υποβολής των δηλώσεων φόρου συγκέντρωσης κεφαλαίου και τελών χαρτοσήμου με καταληκτική ημερομηνία εντός των μηνών Μαρτίου και Απριλίου 2020. Οι δηλώσεις τελών χαρτοσήμου που αποδίδονται ηλεκτρονικά με τον παρακρατούμενο φόρο εισοδήματος και αποτελούν παρακολούθημα του φόρου αυτού αποδίδονται κατά τον χρόνο απόδοσης του παρακρατούμενου φόρου. 2. Παρατείνεται μέχρι και την 30.06.020 η προθεσμία υποβολής των δηλώσεων περιβαλλοντικού τέλους πλαστικής σακούλας με καταληκτική ημερομηνία την 30.04.2020 που αφορούν στο α’ τρίμηνο του 2020. 3. Παρατείνεται μέχρι και την 29.05.2020 η προθεσμία υποβολής δηλώσεων φόρου διαμονής με καταληκτική ημερομηνία την 31.03.2020, που αφορούν τα ειδικά στοιχεία που εκδόθηκαν εντός Φεβρουαρίου 2020. Παρατείνεται μέχρι και την 30.06.2020 η προθεσμία υποβολής των δηλώσεων φόρου διαμονής με καταληκτική ημερομηνία την 30.04.2020, που αφορούν τα ειδικά στοιχεία που εκδόθηκαν εντός Μαρτίου 2020.4. Παρατείνεται μέχρι και την 29.05.2020 η προθεσμία υποβολής των δηλώσεων φόρου κληρονομιών και κερδών από τυχερά παίγνια, που λήγει εντός των μηνών Μαρτίου και Απριλίου. Το αυτό ισχύει και για τις δηλώσεις φόρου δωρεών και γονικών παροχών, για τις οποίες δεν συντάσσεται συμβολαιογραφικό έγγραφο. Για δηλώσεις των φορολογιών κεφαλαίου που υποβάλλονται κατά το χρονικό αυτό διάστημα δεν διενεργείται κατά την παραλαβή οποιοσδήποτε έλεγχος, ο οποίος θα διενεργηθεί σε μεταγενέστερο χρόνο.",http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL8yNwbRNbiFj1p6k5uE6xNduJInJ48_97uHrMts-zFzeyCiBSQOpYnTy36MacmUFCx2ppFvBej56Mmc8Qdb8ZfRJqZnsIAdk8Lv_e6czmhEembNmZCMxLMtdvQJhR6vDTqQVCiNTC2JEKyHN-Y1tiTFxTZJohzXiic,Ένέχει συγκεριμένες προθεσμίες καταβολής τελών και φόρων
92,ΟΙΚΟΝΟΜΙΚΩΝ - ΥΓΕΙΑΣ - ΔΙΚΑΙΟΣΥΝΗΣ,"Αριθμ. απόφ. 124
 Επιβολή του μέτρου της προσωρινής, μερικής αναστολής λειτουργίας της Κεντρικής Υπηρεσίας του Νομικού Συμβουλίου του Κράτους και του περιορισμού λειτουργίας των υπηρεσιακών μονάδων αυτού έως και 10-04-2020 για την αντιμετώπιση των αρνητικών συνεπειών της εμφάνισης του κορωνοϊού COVID-19 και της ανάγκης περιορισμού της μετάδοσής του","Άρθρο τριακοστό ένατο της από 20.3.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα για την αντιμετώπιση των συνεπειών του κινδύνου διασποράς του κορωνοϊού COVID-19, τη στήριξη της κοινωνίας και της επιχειρηματικότητας και τη διασφάλιση της ομαλής λειτουργίας της αγοράς και της δημόσιας διοίκησης» (Α΄ 68) σε συνδυασμό με την από 25.2.2020 Πράξη Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αποφυγής και περιορισμού της διάδοσης του κορωνοϊού» (Α΄ 42), την από 11.3.2020 Πράξη Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αντιμετώπισης των αρνητικών συνεπειών της εμφάνισης του κορωνοϊού COVID-19 και της ανάγκης περιορισμού της διάδοσής του» (Α΄ 55) και την από 14.3.2020 Πράξη Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αντιμετώπισης της ανάγκης περιορισμού της διασποράς του κορωνοϊού COVID-19» (Α΄ 64)",Β1080/28-3-20,10/04/2020,http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL8Rd1QVOU_cgvNZ8op6Z_wSuJInJ48_97uHrMts-zFzeyCiBSQOpYnTy36MacmUFCx2ppFvBej56Mmc8Qdb8ZfRJqZnsIAdk8Lv_e6czmhEembNmZCMxLMtQkxapimo7mpUrDimAHmM0jMCv9B6ygZH0ZVkVVRjA_b,"έως 10/4. Παρατάθηκε με νεόερο ΦΕΚ 1216 Β΄/8-4-20, έως 26/4"
93,ΑΝΑΠΤΥΞΗΣ ΚΑΙ ΕΠΕΝΔΥΣΕΩΝ - ΠΡΟΣΤΑΣΙΑΣ ΤΟΥ ΠΟΛΙΤΗ - ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΩΝ ΥΠΟΘΕΣΕΩΝ - ΥΓΕΙΑΣ - ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ - ΕΣΩΤΕΡΙΚΩΝ-ΥΠΟΔΟΜΩΝ ΚΑΙ ΜΕΤΑΦΟΡΩΝ,"Αριθμ. Δ1α/ΓΠ.οικ. 21268
 Επιβολή του μέτρου της προσωρινής απαγόρευσης λειτουργίας ιδιωτικών επιχειρήσεων και άλλων χώρων συνάθροισης κοινού, στο σύνολο της Επικράτειας, για το χρονικό διάστημα από 28.3.2020 έως και 11.4.2020, προς περιορισμό της διασποράς του κορωνοϊού COVID-19","Άρθρο πρώτο της από 25.2.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αποφυγής και περιορισμού της διάδοσης κορωνοϊού» (Α΄ 42) και ιδίως οι περιπτώσεις ζ’ και η’ της παρ. 2 και η περίπτωση ε΄ της παρ. 4 αυτού.
 ##
 Άρθρο ένατο παρ. 3 της από 14.3.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αντιμετώπισης της διασποράς του κορωνοϊού COVID-19» (Α’ 64).",Β1081/28-3-20,11/04/2020,http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL8Rd1QVOU_cgstiDow6HlTE-JInJ48_97uHrMts-zFzeyCiBSQOpYnTy36MacmUFCx2ppFvBej56Mmc8Qdb8ZfRJqZnsIAdk8Lv_e6czmhEembNmZCMxLMtRbg2id2X_ZUHi5EAVD8SCqpkzgFLBzM_cz6vz2ps9FQ,έως 11/4. Συμπληρώθηκε με ΦΕΚ 1167 Β΄/3-4-20. Παρατάθηκε εκ νέου με ΦΕΚ 1299 Β΄/10-4-20 έως 27/4
94,ΠΑΙΔΕΙΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ - ΥΓΕΙΑΣ,"Αριθμ. Δ1α/ΓΠ.οικ. 21285
 Παράταση ισχύος της κοινής απόφασης των Υπουργών Παιδείας και Θρησκευμάτων και Υγείας με αρ. 2867/Υ1/16-3-2020 (Β’ 872) έως τις 11.4.2020",Άρθρο πρώτο της από 25.2.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αποφυγής και περιορισμού της διάδοσης κορωνοϊού» (Α΄ 42) και ιδίως της περ. στ’ της παρ. 2 και της περ. δ΄ της παρ. 4 αυτού,Β1082/29-3-20,11/04/2020,http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL8Rd1QVOU_cgvnMRVjyfnPUeJInJ48_97uHrMts-zFzeyCiBSQOpYnTy36MacmUFCx2ppFvBej56Mmc8Qdb8ZfRJqZnsIAdk8Lv_e6czmhEembNmZCMxLMtW4f5FGRLJ_Twi2KAIL5Ju6gOQEmlZ9seysbBbIOi132,έως 11/4
95,ΟΙΚΟΝΟΜΙΚΩΝ,"Αριθμ. Α.1060
 Παράταση καταβολής βεβαιωμένων οφειλών για την αντιμετώπιση των έκτακτων αναγκών που προέκυψαν στα πλαίσια των κατεπειγόντων μέτρων αντιμετώπισης των αρνητικών συνεπειών της εμφάνισης του κορωνοϊού COVID-19 και της ανάγκης περιορισμού της διάδοσής του","Οι διατάξεις του άρθρου 8 του ν. 1284/1982 (114 Α΄), όπως ισχύει, με τις οποίες εξουσιοδοτείται ο Υπουργός Οικονομικών να παρατείνει, με αποφάσεις του που δημοσιεύονται στην Εφημερίδα της Κυβερνήσεως, σε εξαιρετικές μόνο περιπτώσεις, τις προθεσμίες καταβολής των βεβαιωμένων χρεών προς το Δημόσιο και Τρίτους που εισπράττονται από τις Δ.Ο.Υ 
 (ΔΕΝ ΕΚΔΙΔΕΤΑΙ ΔΥΝΑΜΕΙ ΔΙΑΤΑΞΕΩΝ ΠΝΠ)",Β1083/30-3-20,10/04/2020,http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL8Rd1QVOU_cgu4ndCieBbLVuJInJ48_97uHrMts-zFzeyCiBSQOpYnTy36MacmUFCx2ppFvBej56Mmc8Qdb8ZfRJqZnsIAdk8Lv_e6czmhEembNmZCMxLMtXVYCgtaensXJZObaht1nXo9InJ7wlp0gtOQo8EqtXXb,έως 10/4
