area,areaid,dailydose1,dailydose2,daydiff,daytotal,referencedate,totaldistinctpersons,totaldose1,totaldose2,totalvaccinations
ΓΡΕΒΕΝΩΝ,301,34,0,4,34,2021-01-19T00:00:00,279,279,0,279
ΔΡΑΜΑΣ,101,60,0,22,60,2021-01-19T00:00:00,523,523,0,523
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,903,19,57,-24,76,2021-01-19T00:00:00,599,599,142,741
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,904,204,51,88,255,2021-01-19T00:00:00,3075,3075,154,3229
ΕΒΡΟΥ,102,148,0,35,148,2021-01-19T00:00:00,1456,1456,0,1456
ΕΥΒΟΙΑΣ,802,200,0,97,200,2021-01-19T00:00:00,926,926,0,926
ΕΥΡΥΤΑΝΙΑΣ,803,36,0,21,36,2021-01-19T00:00:00,211,211,0,211
ΖΑΚΥΝΘΟΥ,601,60,0,40,60,2021-01-19T00:00:00,250,250,0,250
ΗΛΕΙΑΣ,703,133,0,63,133,2021-01-19T00:00:00,770,770,0,770
ΗΜΑΘΙΑΣ,201,60,0,10,60,2021-01-19T00:00:00,768,768,0,768
ΗΡΑΚΛΕΙΟΥ,1301,347,0,-102,347,2021-01-19T00:00:00,3383,3383,0,3383
ΘΑΣΟΥ,103,0,0,0,0,2021-01-19T00:00:00,0,0,0,0
ΘΕΣΠΡΩΤΙΑΣ,402,79,0,48,79,2021-01-19T00:00:00,385,385,0,385
ΘΕΣΣΑΛΟΝΙΚΗΣ,202,755,59,176,814,2021-01-19T00:00:00,12103,12103,59,12162
ΘΗΡΑΣ,1202,30,0,25,30,2021-01-19T00:00:00,65,65,0,65
ΙΘΑΚΗΣ,602,0,0,0,0,2021-01-19T00:00:00,0,0,0,0
ΙΚΑΡΙΑΣ,1101,24,0,19,24,2021-01-19T00:00:00,64,64,0,64
ΙΩΑΝΝΙΝΩΝ,403,139,76,45,215,2021-01-19T00:00:00,2873,2873,76,2949
ΚΑΒΑΛΑΣ,104,60,0,1,60,2021-01-19T00:00:00,759,759,0,759
ΚΑΛΥΜΝΟΥ,1203,6,0,-6,6,2021-01-19T00:00:00,151,151,0,151
ΚΑΡΔΙΤΣΑΣ,501,65,0,10,65,2021-01-19T00:00:00,709,709,0,709
ΚΑΡΠΑΘΟΥ,1204,0,0,0,0,2021-01-19T00:00:00,15,15,0,15
ΚΑΣΤΟΡΙΑΣ,302,30,0,2,30,2021-01-19T00:00:00,355,355,0,355
ΚΕΑΣ-ΚΥΘΝΟΥ,1205,0,0,0,0,2021-01-19T00:00:00,0,0,0,0
ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,905,963,133,234,1096,2021-01-19T00:00:00,20614,20614,311,20925
ΚΕΡΚΥΡΑΣ,603,108,0,43,108,2021-01-19T00:00:00,428,428,0,428
ΚΕΦΑΛΛΗΝΙΑΣ,604,130,0,110,130,2021-01-19T00:00:00,370,370,0,370
ΚΙΛΚΙΣ,203,66,0,26,66,2021-01-19T00:00:00,446,446,0,446
ΚΟΖΑΝΗΣ,303,121,0,77,121,2021-01-19T00:00:00,905,905,0,905
ΚΟΡΙΝΘΙΑΣ,1003,30,0,0,30,2021-01-19T00:00:00,380,380,0,380
ΚΩ,1206,60,0,34,60,2021-01-19T00:00:00,193,193,0,193
ΛΑΚΩΝΙΑΣ,1004,137,0,64,137,2021-01-19T00:00:00,639,639,0,639
ΛΑΡΙΣΑΣ,502,103,95,43,198,2021-01-19T00:00:00,2104,2104,95,2199
ΛΑΣΙΘΙΟΥ,1302,194,0,154,194,2021-01-19T00:00:00,793,793,0,793
ΛΕΣΒΟΥ,1102,168,0,134,168,2021-01-19T00:00:00,452,452,0,452
ΛΕΥΚΑΔΑΣ,605,36,0,16,36,2021-01-19T00:00:00,171,171,0,171
ΛΗΜΝΟΥ,1103,54,0,49,54,2021-01-19T00:00:00,227,227,0,227
ΜΑΓΝΗΣΙΑΣ,503,49,0,49,49,2021-01-19T00:00:00,682,682,0,682
ΜΕΣΣΗΝΙΑΣ,1005,105,0,50,105,2021-01-19T00:00:00,770,770,0,770
ΜΗΛΟΥ,1207,0,0,0,0,2021-01-19T00:00:00,0,0,0,0
ΜΥΚΟΝΟΥ,1208,0,0,0,0,2021-01-19T00:00:00,0,0,0,0
ΝΑΞΟΥ,1209,12,0,2,12,2021-01-19T00:00:00,72,72,0,72
ΝΗΣΩΝ,906,24,0,24,24,2021-01-19T00:00:00,64,64,0,64
ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,907,102,0,37,102,2021-01-19T00:00:00,1442,1442,0,1442
ΞΑΝΘΗΣ,105,60,0,5,60,2021-01-19T00:00:00,670,670,0,670
ΠΑΡΟΥ,1210,0,0,0,0,2021-01-19T00:00:00,0,0,0,0
ΠΕΙΡΑΙΩΣ,908,227,0,113,227,2021-01-19T00:00:00,3192,3192,0,3192
ΠΕΛΛΑΣ,204,80,0,29,80,2021-01-19T00:00:00,684,684,0,684
ΠΙΕΡΙΑΣ,205,54,0,19,54,2021-01-19T00:00:00,522,522,0,522
ΠΡΕΒΕΖΑΣ,404,48,0,24,48,2021-01-19T00:00:00,411,411,0,411
ΡΕΘΥΜΝΟΥ,1303,30,0,5,30,2021-01-19T00:00:00,525,525,0,525
ΡΟΔΟΠΗΣ,106,48,0,23,48,2021-01-19T00:00:00,393,393,0,393
ΡΟΔΟΥ,1211,90,0,90,90,2021-01-19T00:00:00,525,525,0,525
ΣΑΜΟΥ,1104,30,0,20,30,2021-01-19T00:00:00,240,240,0,240
ΣΕΡΡΩΝ,206,72,0,32,72,2021-01-19T00:00:00,762,762,0,762
ΣΠΟΡΑΔΩΝ,504,0,0,0,0,2021-01-19T00:00:00,0,0,0,0
ΣΥΡΟΥ,1212,29,0,29,29,2021-01-19T00:00:00,199,199,0,199
ΤΗΝΟΥ,1213,0,0,0,0,2021-01-19T00:00:00,0,0,0,0
ΤΡΙΚΑΛΩΝ,505,72,0,-3,72,2021-01-19T00:00:00,827,827,0,827
ΦΘΙΩΤΙΔΑΣ,804,61,0,8,61,2021-01-19T00:00:00,834,834,0,834
ΦΛΩΡΙΝΑΣ,304,30,0,10,30,2021-01-19T00:00:00,314,314,0,314
ΦΩΚΙΔΑΣ,805,48,0,42,48,2021-01-19T00:00:00,174,174,0,174
ΧΑΛΚΙΔΙΚΗΣ,207,30,0,15,30,2021-01-19T00:00:00,310,310,0,310
ΧΑΝΙΩΝ,1304,94,0,34,94,2021-01-19T00:00:00,1137,1137,0,1137
ΧΙΟΥ,1105,42,0,15,42,2021-01-19T00:00:00,329,329,0,329
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,701,78,0,24,78,2021-01-20T00:00:00,1021,1021,0,1021
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,901,276,40,184,316,2021-01-20T00:00:00,1090,1090,182,1272
ΑΝΔΡΟΥ,1201,0,0,0,0,2021-01-20T00:00:00,0,0,0,0
ΑΡΓΟΛΙΔΑΣ,1001,174,0,43,174,2021-01-20T00:00:00,681,681,0,681
ΑΡΚΑΔΙΑΣ,1002,108,0,60,108,2021-01-20T00:00:00,721,721,0,721
ΑΡΤΑΣ,401,132,0,102,132,2021-01-20T00:00:00,778,778,0,778
ΑΧΑΪΑΣ,702,439,95,282,534,2021-01-20T00:00:00,2991,2991,188,3179
ΒΟΙΩΤΙΑΣ,801,155,0,96,155,2021-01-20T00:00:00,625,625,0,625
ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,902,2191,0,908,2191,2021-01-20T00:00:00,16509,16509,0,16509
ΓΡΕΒΕΝΩΝ,301,36,0,2,36,2021-01-20T00:00:00,315,315,0,315
ΔΡΑΜΑΣ,101,168,0,108,168,2021-01-20T00:00:00,691,691,0,691
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,903,122,53,99,175,2021-01-20T00:00:00,721,721,195,916
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,904,444,40,229,484,2021-01-20T00:00:00,3519,3519,194,3713
ΕΒΡΟΥ,102,301,0,153,301,2021-01-20T00:00:00,1757,1757,0,1757
ΕΥΒΟΙΑΣ,802,434,0,234,434,2021-01-20T00:00:00,1360,1360,0,1360
ΕΥΡΥΤΑΝΙΑΣ,803,29,0,-7,29,2021-01-20T00:00:00,240,240,0,240
ΖΑΚΥΝΘΟΥ,601,102,0,42,102,2021-01-20T00:00:00,352,352,0,352
ΗΛΕΙΑΣ,703,198,0,65,198,2021-01-20T00:00:00,968,968,0,968
ΗΜΑΘΙΑΣ,201,135,0,75,135,2021-01-20T00:00:00,903,903,0,903
ΗΡΑΚΛΕΙΟΥ,1301,488,0,141,488,2021-01-20T00:00:00,3871,3871,0,3871
ΘΑΣΟΥ,103,0,0,0,0,2021-01-20T00:00:00,0,0,0,0
ΘΕΣΠΡΩΤΙΑΣ,402,96,0,17,96,2021-01-20T00:00:00,481,481,0,481
ΘΕΣΣΑΛΟΝΙΚΗΣ,202,1468,79,733,1547,2021-01-20T00:00:00,13571,13571,138,13709
ΘΗΡΑΣ,1202,18,0,-12,18,2021-01-20T00:00:00,83,83,0,83
ΙΘΑΚΗΣ,602,0,0,0,0,2021-01-20T00:00:00,0,0,0,0
ΙΚΑΡΙΑΣ,1101,17,0,-7,17,2021-01-20T00:00:00,81,81,0,81
ΙΩΑΝΝΙΝΩΝ,403,236,93,114,329,2021-01-20T00:00:00,3109,3109,169,3278
ΚΑΒΑΛΑΣ,104,148,0,88,148,2021-01-20T00:00:00,907,907,0,907
ΚΑΛΥΜΝΟΥ,1203,33,0,27,33,2021-01-20T00:00:00,184,184,0,184
ΚΑΡΔΙΤΣΑΣ,501,234,0,169,234,2021-01-20T00:00:00,943,943,0,943
ΚΑΡΠΑΘΟΥ,1204,12,0,12,12,2021-01-20T00:00:00,27,27,0,27
ΚΑΣΤΟΡΙΑΣ,302,59,0,29,59,2021-01-20T00:00:00,414,414,0,414
ΚΕΑΣ-ΚΥΘΝΟΥ,1205,0,0,0,0,2021-01-20T00:00:00,0,0,0,0
ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,905,1640,97,641,1737,2021-01-20T00:00:00,22254,22254,408,22662
ΚΕΡΚΥΡΑΣ,603,231,0,123,231,2021-01-20T00:00:00,659,659,0,659
ΚΕΦΑΛΛΗΝΙΑΣ,604,137,0,7,137,2021-01-20T00:00:00,507,507,0,507
ΚΙΛΚΙΣ,203,202,0,136,202,2021-01-20T00:00:00,648,648,0,648
ΚΟΖΑΝΗΣ,303,114,0,-7,114,2021-01-20T00:00:00,1019,1019,0,1019
ΚΟΡΙΝΘΙΑΣ,1003,71,0,41,71,2021-01-20T00:00:00,451,451,0,451
ΚΩ,1206,66,0,6,66,2021-01-20T00:00:00,259,259,0,259
ΛΑΚΩΝΙΑΣ,1004,156,0,19,156,2021-01-20T00:00:00,795,795,0,795
ΛΑΡΙΣΑΣ,502,211,95,108,306,2021-01-20T00:00:00,2315,2315,190,2505
ΛΑΣΙΘΙΟΥ,1302,253,0,59,253,2021-01-20T00:00:00,1046,1046,0,1046
ΛΕΣΒΟΥ,1102,151,0,-17,151,2021-01-20T00:00:00,603,603,0,603
ΛΕΥΚΑΔΑΣ,605,47,0,11,47,2021-01-20T00:00:00,218,218,0,218
ΛΗΜΝΟΥ,1103,42,0,-12,42,2021-01-20T00:00:00,269,269,0,269
ΜΑΓΝΗΣΙΑΣ,503,78,0,29,78,2021-01-20T00:00:00,760,760,0,760
ΜΕΣΣΗΝΙΑΣ,1005,175,0,70,175,2021-01-20T00:00:00,945,945,0,945
ΜΗΛΟΥ,1207,0,0,0,0,2021-01-20T00:00:00,0,0,0,0
ΜΥΚΟΝΟΥ,1208,0,0,0,0,2021-01-20T00:00:00,0,0,0,0
ΝΑΞΟΥ,1209,30,0,18,30,2021-01-20T00:00:00,102,102,0,102
ΝΗΣΩΝ,906,18,0,-6,18,2021-01-20T00:00:00,82,82,0,82
ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,907,272,0,170,272,2021-01-20T00:00:00,1714,1714,0,1714
ΞΑΝΘΗΣ,105,117,0,57,117,2021-01-20T00:00:00,787,787,0,787
ΠΑΡΟΥ,1210,0,0,0,0,2021-01-20T00:00:00,0,0,0,0
ΠΕΙΡΑΙΩΣ,908,636,0,409,636,2021-01-20T00:00:00,3828,3828,0,3828
ΠΕΛΛΑΣ,204,196,0,116,196,2021-01-20T00:00:00,880,880,0,880
ΠΙΕΡΙΑΣ,205,108,0,54,108,2021-01-20T00:00:00,630,630,0,630
ΠΡΕΒΕΖΑΣ,404,48,0,0,48,2021-01-20T00:00:00,459,459,0,459
ΡΕΘΥΜΝΟΥ,1303,150,0,120,150,2021-01-20T00:00:00,675,675,0,675
ΡΟΔΟΠΗΣ,106,90,0,42,90,2021-01-20T00:00:00,483,483,0,483
ΡΟΔΟΥ,1211,96,0,6,96,2021-01-20T00:00:00,621,621,0,621
ΣΑΜΟΥ,1104,48,0,18,48,2021-01-20T00:00:00,288,288,0,288
ΣΕΡΡΩΝ,206,126,0,54,126,2021-01-20T00:00:00,888,888,0,888
ΣΠΟΡΑΔΩΝ,504,0,0,0,0,2021-01-20T00:00:00,0,0,0,0
ΣΥΡΟΥ,1212,48,0,19,48,2021-01-20T00:00:00,247,247,0,247
ΤΗΝΟΥ,1213,0,0,0,0,2021-01-20T00:00:00,0,0,0,0
ΤΡΙΚΑΛΩΝ,505,179,0,107,179,2021-01-20T00:00:00,1006,1006,0,1006
ΦΘΙΩΤΙΔΑΣ,804,139,0,78,139,2021-01-20T00:00:00,973,973,0,973
ΦΛΩΡΙΝΑΣ,304,66,0,36,66,2021-01-20T00:00:00,380,380,0,380
ΦΩΚΙΔΑΣ,805,48,0,0,48,2021-01-20T00:00:00,222,222,0,222
ΧΑΛΚΙΔΙΚΗΣ,207,90,0,60,90,2021-01-20T00:00:00,400,400,0,400
ΧΑΝΙΩΝ,1304,345,0,251,345,2021-01-20T00:00:00,1482,1482,0,1482
ΧΙΟΥ,1105,30,0,-12,30,2021-01-20T00:00:00,359,359,0,359
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,701,0,0,-386,0,2021-03-25T00:00:00,13397,13397,4937,18334
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,901,1,0,-813,1,2021-03-25T00:00:00,29137,29137,10636,39773
ΑΝΔΡΟΥ,1201,0,0,-49,0,2021-03-25T00:00:00,418,418,296,714
ΑΡΓΟΛΙΔΑΣ,1001,0,0,-224,0,2021-03-25T00:00:00,8206,8206,3579,11785
ΑΡΚΑΔΙΑΣ,1002,0,0,-223,0,2021-03-25T00:00:00,8167,8167,3352,11519
ΑΡΤΑΣ,401,0,0,-178,0,2021-03-25T00:00:00,6171,6171,3814,9985
ΑΧΑΪΑΣ,702,0,0,-855,0,2021-03-25T00:00:00,24076,24076,12353,36429
ΒΟΙΩΤΙΑΣ,801,0,0,-293,0,2021-03-25T00:00:00,11469,11469,3788,15257
ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,902,10,5,-4983,15,2021-03-25T00:00:00,133747,133748,71395,205143
ΓΡΕΒΕΝΩΝ,301,0,0,-86,0,2021-03-25T00:00:00,3420,3420,1605,5025
ΔΡΑΜΑΣ,101,0,0,-239,0,2021-03-25T00:00:00,8019,8019,4154,12173
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,903,0,0,-302,0,2021-03-25T00:00:00,8816,8816,3752,12568
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,904,0,0,-1379,0,2021-03-25T00:00:00,42466,42466,19653,62119
ΕΒΡΟΥ,102,0,0,-437,0,2021-03-25T00:00:00,14596,14596,7172,21768
ΕΥΒΟΙΑΣ,802,0,0,-580,0,2021-03-25T00:00:00,17089,17089,7997,25086
ΕΥΡΥΤΑΝΙΑΣ,803,0,0,-42,0,2021-03-25T00:00:00,1712,1712,829,2541
ΖΑΚΥΝΘΟΥ,601,0,0,-139,0,2021-03-25T00:00:00,2888,2888,1705,4593
ΗΛΕΙΑΣ,703,0,0,-374,0,2021-03-25T00:00:00,10788,10788,4832,15620
ΗΜΑΘΙΑΣ,201,0,0,-368,0,2021-03-25T00:00:00,11539,11539,5792,17331
ΗΡΑΚΛΕΙΟΥ,1301,0,0,-805,0,2021-03-25T00:00:00,24450,24450,12768,37218
ΘΑΣΟΥ,103,0,0,-48,0,2021-03-25T00:00:00,548,548,452,1000
ΘΕΣΠΡΩΤΙΑΣ,402,0,0,-243,0,2021-03-25T00:00:00,6110,6110,2675,8785
ΘΕΣΣΑΛΟΝΙΚΗΣ,202,0,0,-3799,0,2021-03-25T00:00:00,112391,112393,58840,171233
ΘΗΡΑΣ,1202,0,0,-42,0,2021-03-25T00:00:00,1139,1139,489,1628
ΙΘΑΚΗΣ,602,0,0,-66,0,2021-03-25T00:00:00,812,812,364,1176
ΙΚΑΡΙΑΣ,1101,0,0,-40,0,2021-03-25T00:00:00,1465,1465,925,2390
ΙΩΑΝΝΙΝΩΝ,403,0,0,-523,0,2021-03-25T00:00:00,17504,17505,9922,27427
ΚΑΒΑΛΑΣ,104,0,0,-360,0,2021-03-25T00:00:00,10340,10340,5467,15807
ΚΑΛΥΜΝΟΥ,1203,0,0,-28,0,2021-03-25T00:00:00,1566,1566,1103,2669
ΚΑΡΔΙΤΣΑΣ,501,1,0,-295,1,2021-03-25T00:00:00,12649,12649,5147,17796
ΚΑΡΠΑΘΟΥ,1204,0,0,-107,0,2021-03-25T00:00:00,589,589,333,922
ΚΑΣΤΟΡΙΑΣ,302,0,0,-212,0,2021-03-25T00:00:00,6045,6045,2609,8654
ΚΕΑΣ-ΚΥΘΝΟΥ,1205,0,0,-78,0,2021-03-25T00:00:00,545,545,38,583
ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,905,60,1,-3898,61,2021-03-25T00:00:00,144648,144649,75580,220229
ΚΕΡΚΥΡΑΣ,603,0,0,-343,0,2021-03-25T00:00:00,8915,8915,3993,12908
ΚΕΦΑΛΛΗΝΙΑΣ,604,0,0,-122,0,2021-03-25T00:00:00,4157,4157,2051,6208
ΚΙΛΚΙΣ,203,0,0,-208,0,2021-03-25T00:00:00,7969,7969,4047,12016
ΚΟΖΑΝΗΣ,303,0,0,-402,0,2021-03-25T00:00:00,12958,12958,5669,18627
ΚΟΡΙΝΘΙΑΣ,1003,0,0,-278,0,2021-03-25T00:00:00,10242,10242,3648,13890
ΚΩ,1206,0,1,-136,1,2021-03-25T00:00:00,3363,3363,1520,4883
ΛΑΚΩΝΙΑΣ,1004,0,0,-167,0,2021-03-25T00:00:00,8061,8061,3702,11763
ΛΑΡΙΣΑΣ,502,0,0,-578,0,2021-03-25T00:00:00,21104,21104,9266,30370
ΛΑΣΙΘΙΟΥ,1302,0,0,-335,0,2021-03-25T00:00:00,8847,8847,5112,13959
ΛΕΣΒΟΥ,1102,0,0,-205,0,2021-03-25T00:00:00,6504,6504,3019,9523
ΛΕΥΚΑΔΑΣ,605,0,0,-184,0,2021-03-25T00:00:00,3541,3541,1855,5396
ΛΗΜΝΟΥ,1103,0,0,-66,0,2021-03-25T00:00:00,1650,1650,908,2558
ΜΑΓΝΗΣΙΑΣ,503,0,0,-525,0,2021-03-25T00:00:00,14245,14245,6207,20452
ΜΕΣΣΗΝΙΑΣ,1005,0,0,-335,0,2021-03-25T00:00:00,12278,12278,6201,18479
ΜΗΛΟΥ,1207,0,0,-48,0,2021-03-25T00:00:00,1393,1393,294,1687
ΜΥΚΟΝΟΥ,1208,0,0,-48,0,2021-03-25T00:00:00,284,284,167,451
ΝΑΞΟΥ,1209,0,0,-42,0,2021-03-25T00:00:00,892,892,558,1450
ΝΗΣΩΝ,906,0,0,-264,0,2021-03-25T00:00:00,4781,4781,2099,6880
ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,907,0,0,-938,0,2021-03-25T00:00:00,27737,27737,10660,38397
ΞΑΝΘΗΣ,105,0,0,-252,0,2021-03-25T00:00:00,6779,6779,3424,10203
ΠΑΡΟΥ,1210,0,0,-54,0,2021-03-25T00:00:00,421,421,311,732
ΠΕΙΡΑΙΩΣ,908,0,0,-1345,0,2021-03-25T00:00:00,43088,43088,18917,62005
ΠΕΛΛΑΣ,204,26,15,-270,41,2021-03-25T00:00:00,13258,13258,6272,19530
ΠΙΕΡΙΑΣ,205,0,0,-305,0,2021-03-25T00:00:00,9137,9137,4764,13901
ΠΡΕΒΕΖΑΣ,404,0,0,-161,0,2021-03-25T00:00:00,5712,5712,1516,7228
ΡΕΘΥΜΝΟΥ,1303,0,0,-196,0,2021-03-25T00:00:00,7596,7596,3554,11150
ΡΟΔΟΠΗΣ,106,0,0,-237,0,2021-03-25T00:00:00,6369,6369,3074,9443
ΡΟΔΟΥ,1211,15,0,-235,15,2021-03-25T00:00:00,7875,7875,3987,11862
ΣΑΜΟΥ,1104,0,0,-60,0,2021-03-25T00:00:00,2587,2587,1046,3633
ΣΕΡΡΩΝ,206,1,0,-332,1,2021-03-25T00:00:00,12398,12398,4795,17193
ΣΠΟΡΑΔΩΝ,504,0,0,-138,0,2021-03-25T00:00:00,713,713,349,1062
ΣΥΡΟΥ,1212,0,0,-90,0,2021-03-25T00:00:00,2036,2036,976,3012
ΤΗΝΟΥ,1213,0,0,-54,0,2021-03-25T00:00:00,422,422,315,737
ΤΡΙΚΑΛΩΝ,505,0,0,-392,0,2021-03-25T00:00:00,12462,12462,6093,18555
ΦΘΙΩΤΙΔΑΣ,804,0,0,-413,0,2021-03-25T00:00:00,10919,10919,5103,16022
ΦΛΩΡΙΝΑΣ,304,0,0,-155,0,2021-03-25T00:00:00,4868,4868,2277,7145
ΦΩΚΙΔΑΣ,805,0,0,-64,0,2021-03-25T00:00:00,2694,2694,1263,3957
ΧΑΛΚΙΔΙΚΗΣ,207,0,0,-226,0,2021-03-25T00:00:00,9189,9189,3669,12858
ΧΑΝΙΩΝ,1304,0,0,-470,0,2021-03-25T00:00:00,16356,16356,8038,24394
ΧΙΟΥ,1105,2,9,-156,11,2021-03-25T00:00:00,4937,4937,2368,7305
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,701,237,131,368,368,2021-03-26T00:00:00,13634,13634,5068,18702
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,901,392,500,891,892,2021-03-26T00:00:00,29529,29529,11136,40665
ΑΝΔΡΟΥ,1201,46,0,46,46,2021-03-26T00:00:00,464,464,296,760
ΑΡΓΟΛΙΔΑΣ,1001,94,161,255,255,2021-03-26T00:00:00,8300,8300,3740,12040
ΑΡΚΑΔΙΑΣ,1002,103,151,254,254,2021-03-26T00:00:00,8270,8270,3503,11773
ΑΡΤΑΣ,401,36,158,194,194,2021-03-26T00:00:00,6207,6207,3972,10179
ΑΧΑΪΑΣ,702,266,598,864,864,2021-03-26T00:00:00,24342,24342,12951,37293
ΒΟΙΩΤΙΑΣ,801,116,210,326,326,2021-03-26T00:00:00,11585,11585,3998,15583
ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,902,742,4231,4958,4973,2021-03-26T00:00:00,134489,134490,75626,210116
ΓΡΕΒΕΝΩΝ,301,18,107,125,125,2021-03-26T00:00:00,3438,3438,1712,5150
ΔΡΑΜΑΣ,101,60,166,226,226,2021-03-26T00:00:00,8079,8079,4320,12399
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,903,75,328,403,403,2021-03-26T00:00:00,8891,8891,4080,12971
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,904,341,1092,1433,1433,2021-03-26T00:00:00,42807,42807,20745,63552
ΕΒΡΟΥ,102,97,308,405,405,2021-03-26T00:00:00,14693,14693,7480,22173
ΕΥΒΟΙΑΣ,802,205,509,714,714,2021-03-26T00:00:00,17294,17294,8506,25800
ΕΥΡΥΤΑΝΙΑΣ,803,7,52,59,59,2021-03-26T00:00:00,1719,1719,881,2600
ΖΑΚΥΝΘΟΥ,601,58,93,151,151,2021-03-26T00:00:00,2946,2946,1798,4744
ΗΛΕΙΑΣ,703,126,257,383,383,2021-03-26T00:00:00,10914,10914,5089,16003
ΗΜΑΘΙΑΣ,201,125,219,344,344,2021-03-26T00:00:00,11664,11664,6011,17675
ΗΡΑΚΛΕΙΟΥ,1301,325,532,857,857,2021-03-26T00:00:00,24775,24775,13300,38075
ΘΑΣΟΥ,103,54,0,54,54,2021-03-26T00:00:00,602,602,452,1054
ΘΕΣΠΡΩΤΙΑΣ,402,60,205,265,265,2021-03-26T00:00:00,6170,6170,2880,9050
ΘΕΣΣΑΛΟΝΙΚΗΣ,202,1061,3141,4202,4202,2021-03-26T00:00:00,113452,113454,61981,175435
ΘΗΡΑΣ,1202,1,47,48,48,2021-03-26T00:00:00,1140,1140,536,1676
ΙΘΑΚΗΣ,602,2,70,72,72,2021-03-26T00:00:00,814,814,434,1248
ΙΚΑΡΙΑΣ,1101,1,48,49,49,2021-03-26T00:00:00,1466,1466,973,2439
ΙΩΑΝΝΙΝΩΝ,403,185,362,547,547,2021-03-26T00:00:00,17689,17690,10284,27974
ΚΑΒΑΛΑΣ,104,137,230,367,367,2021-03-26T00:00:00,10477,10477,5697,16174
ΚΑΛΥΜΝΟΥ,1203,1,101,102,102,2021-03-26T00:00:00,1567,1567,1204,2771
ΚΑΡΔΙΤΣΑΣ,501,107,209,315,316,2021-03-26T00:00:00,12756,12756,5356,18112
ΚΑΡΠΑΘΟΥ,1204,20,34,54,54,2021-03-26T00:00:00,609,609,367,976
ΚΑΣΤΟΡΙΑΣ,302,67,163,230,230,2021-03-26T00:00:00,6112,6112,2772,8884
ΚΕΑΣ-ΚΥΘΝΟΥ,1205,28,2,30,30,2021-03-26T00:00:00,573,573,40,613
ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,905,1455,2796,4190,4251,2021-03-26T00:00:00,146103,146104,78376,224480
ΚΕΡΚΥΡΑΣ,603,68,313,381,381,2021-03-26T00:00:00,8983,8983,4306,13289
ΚΕΦΑΛΛΗΝΙΑΣ,604,12,147,159,159,2021-03-26T00:00:00,4169,4169,2198,6367
ΚΙΛΚΙΣ,203,25,379,404,404,2021-03-26T00:00:00,7994,7994,4426,12420
ΚΟΖΑΝΗΣ,303,128,253,381,381,2021-03-26T00:00:00,13086,13086,5922,19008
ΚΟΡΙΝΘΙΑΣ,1003,137,164,301,301,2021-03-26T00:00:00,10379,10379,3812,14191
ΚΩ,1206,27,161,187,188,2021-03-26T00:00:00,3390,3390,1681,5071
ΛΑΚΩΝΙΑΣ,1004,51,145,196,196,2021-03-26T00:00:00,8112,8112,3847,11959
ΛΑΡΙΣΑΣ,502,288,283,571,571,2021-03-26T00:00:00,21392,21392,9549,30941
ΛΑΣΙΘΙΟΥ,1302,83,293,376,376,2021-03-26T00:00:00,8930,8930,5405,14335
ΛΕΣΒΟΥ,1102,58,158,216,216,2021-03-26T00:00:00,6562,6562,3177,9739
ΛΕΥΚΑΔΑΣ,605,13,51,64,64,2021-03-26T00:00:00,3554,3554,1906,5460
ΛΗΜΝΟΥ,1103,30,59,89,89,2021-03-26T00:00:00,1680,1680,967,2647
ΜΑΓΝΗΣΙΑΣ,503,178,332,510,510,2021-03-26T00:00:00,14423,14423,6539,20962
ΜΕΣΣΗΝΙΑΣ,1005,88,269,357,357,2021-03-26T00:00:00,12366,12366,6470,18836
